job title,hiring organization,department,seniority level,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,description,benefits,predicted_salary_dzd,inferred_skills,experience_min_req,experience_max_req
QA Engineer,,IT Support,Junior,02/12/2024,30/12/2024,2024-12-30,Finance,El Oued,None,0,CDD,5,"Profil recherché (EN):
Responsabilités: Cloud; Negotiation; Leadership
Profil:
- Java
- Budgeting
- Technical Writing
- Compliance
Compétences: Project Mgmt; Network Security
Avantages:
- Graphic Design
- Negotiation
- Strategic Planning
",Télétravail partiel,95616,"Network Security, Docker, Python, C++",4,6
Security Officer,,Research & Development,Senior,05/04/2025,20/05/2025,2025-05-20,Marketing,Blida,Licence,16,Temps partiel,5,"As Senior Security Officer, you'll perform innovative projects. Contrat: Temps partiel. Localisation: Blida. Département: IT. En tant que Senior Security Officer, vous serez amené à coordonner les relations clients.","Ticket Restaurant, Voiture de fonction",98614,"Java, Network Security, C++, Docker",4,14
DB Admin,,Business Development,Chief,2024-05-14,25/07/2024,2024-07-25,Finance,El Oued,Licence,16,Alternance,5,"Profil recherché (MIX):
Responsabilités: Strategic Planning, Digital Marketing
Profil:
- Java
- Graphic Design
Compétences: Communication, Blockchain
Avantages: Strategic Planning; Digital Marketing
","Participation bénéfices, Assurance santé, Télétravail partiel",44967,"Office Management, Customer Service, Scheduling, Document Control, Data Entry",0,6
DB Admin,,Strategy,Chief,"Jul 21, 2024",08 August 2024,2024-08-08,Ingénierie,Béjaïa,Doctorat,20,Freelance,10,"Profil recherché (EN):
Responsabilités: Budgeting, Strategic Planning, Java, Coordination, Leadership
Profil: Leadership, Technical Writing, Coordination, Organization, Python
Compétences: Strategic Planning, Communication
Avantages: Customer Service; Java; Leadership; Logistics
",Prime performance,42750,"Document Control, Customer Service, Data Entry, Office Management, Scheduling",4,13
Med. Rep,,Data Science,Mid,"Nov 28, 2024",20/02/2025,2025-02-20,Juridique,Annaba,Bac,12,Temporaire,3,"En tant que Mid Med. Rep, vous serez amené à coordonner les processus. Contrat: Temporaire. Localisation: Annaba. Département: Operations. As Mid Med. Rep, you'll lead innovative projects.",Horaires flexibles,41947,"Communication, Critical Thinking, Teamwork, Adaptability, Problem Solving",6,10
Recruiter,,Investor Relations,Chief,2025-04-21,28 April 2025,2025-04-28,RH,Béjaïa,Master,18,Freelance,1,"Profil recherché (MIX):
Responsabilités: Customer Service; Python; Data Analysis; Project Mgmt
Profil: Data Analysis; Python
Compétences: Network Security, Customer Service
Avantages: Project Mgmt; Strategic Planning; Graphic Design; Technical Writing
","Ticket Restaurant, Télétravail partiel",91502,"Machine Learning, Java, DevOps, C++, Python",7,9
Cloud Architect,,IT Support,Senior,2025-03-28,2025-04-26,2025-04-26,Finance,Ghardaïa,Bac,12,Volontariat,5,"Expérience requise: 9-15 ans. Éducation: Bac, 12 ans. As Senior Cloud Architect, you'll design critical projects. En tant que Senior Cloud Architect, vous serez amené à développer l’équipe.","Horaires flexibles, Télétravail partiel",68022,"Network Security, Python, Docker, SQL, C++",9,15
Bioengineer,,Data Science,Mid,"May 28, 2024",29 July 2024,2024-07-29,Marketing,Sétif,Bac,12,CDI,3,"Profil recherché (MIX):
Responsabilités: Cloud; Java
Profil: CAD, Blockchain
Compétences: SQL, Logistics, Budgeting, Teamwork, Python
Avantages: Machine Learning, Coordination, CAD, Compliance, Technical Writing
","Ticket Restaurant, Assurance santé, Participation bénéfices",108195,"Python, DevOps, Docker, C++",9,10
DB Admin,,Training,Chief,"Apr 24, 2025",09 May 2025,2025-05-09,Ventes,Saïda,Bac,12,CDD,5,"En tant que Chief DB Admin, vous serez amené à développer les relations clients. Contrat: CDD. Localisation: Saïda. Département: Operations. Expérience requise: 9-11 ans. Éducation: Bac, 12 ans.",Prime performance,47401,"Document Control, Scheduling, Office Management, Customer Service, Data Entry",9,11
Civil Engineer,,Quality Assurance,Mid,"Aug 25, 2024",27 October 2024,2024-10-27,Ingénierie,Tizi Ouzou,Licence,16,Temporaire,1,"Profil recherché (FR):
Responsabilités: Strategic Planning, Blockchain, Excel
Profil: SEO; Strategic Planning; Maintenance
Compétences:
- Technical Writing
- Leadership
Avantages:
- Coordination
- Teamwork
- CAD
- Customer Service
- Technical Writing
",Participation bénéfices,100980,"Python, Cloud Computing, C++, DevOps, Machine Learning, SQL",10,20
Training Specialist,,Technical Support,Junior,2025-01-27,2025-02-04,2025-02-04,RH,El Oued,None,0,Freelance,1,"En tant que Junior Training Specialist, vous serez amené à superviser les processus. Contrat: Freelance. Localisation: El Oued. Département: Engineering. Expérience requise: 4-12 ans. Éducation: None, 0 ans.",Formation continue,40659,"Time Management, Communication, Critical Thinking, Adaptability, Problem Solving, Teamwork",4,12
Pharmacist,,Business Development,Senior,19 November 2024,2024-12-04,2024-12-04,Admin,El Oued,Bac,12,Alternance,10,"Contrat: Alternance. Localisation: El Oued. Département: IT. As Senior Pharmacist, you'll design critical projects. En tant que Senior Pharmacist, vous serez amené à coordonner les processus.","Prime performance, Horaires flexibles",36983,"Pharmacovigilance, HIPAA Compliance, Clinical Trials, Medical Terminology, Patient Care",5,6
Event Planner,,Design,Mid,07 October 2024,2024-10-28,2024-10-28,Admin,Hybride,Doctorat,20,Temps plein,2,"Profil recherché (FR):
Responsabilités:
- Budgeting
- SEO
Profil:
- Machine Learning
- Research
Compétences: UX/UI, Data Analysis
Avantages: Communication, Coordination, Technical Writing, Blockchain
",,55943,"Communication, Adaptability, Critical Thinking, Problem Solving",3,10
AI Ethics Consultant,,Training,Senior,05 April 2025,15/06/2025,2025-06-15,RH,Ghardaïa,Licence,16,Alternance,10,"Profil recherché (MIX):
Responsabilités: Compliance, Cloud, UX/UI, Leadership
Profil: Python; CAD; Compliance
Compétences: CAD; SEO; Graphic Design; Logistics
Avantages: Graphic Design; Logistics; Negotiation; Technical Writing
",,51878,"Critical Thinking, Communication, Adaptability, Time Management",0,9
HR Coordinator,,Compliance,Senior,01 August 2024,18 August 2024,2024-08-18,Informatique,Télétravail,Bac,12,Temps plein,10,"Profil recherché (MIX):
Responsabilités: Java; Blockchain
Profil: Cloud; Organization; Communication
Compétences:
- Maintenance
- Machine Learning
- Organization
Avantages:
- Technical Writing
- SQL
- Maintenance
- Network Security
","Formation continue, Prime performance",39343,"Onboarding, Performance Management, Recruitment, Training & Development, HRIS, Employee Relations",4,13
Video Editor,,Research & Development,Mid,08/03/2025,04 April 2025,2025-04-04,Ingénierie,Blida,Master,18,Stage,3,"Profil recherché (MIX):
Responsabilités: Strategic Planning; Cloud; Logistics; CAD; SEO
Profil: Excel, Research, Leadership, SEO
Compétences: Logistics; Data Analysis; CAD; Project Mgmt; Budgeting
Avantages: Python, Strategic Planning, CAD, Research, Cloud
",,53292,"Machine Learning, SQL, C++, Docker, DevOps, Kubernetes",0,0
PR Officer,,Customer Success,Senior,2024-11-09,05/01/2025,2025-01-05,RH,Tlemcen,Master,18,CDI,10,"As Senior PR Officer, you'll lead strategic projects. En tant que Senior PR Officer, vous serez amené à développer l’équipe. Expérience requise: 8-12 ans. Éducation: Master, 18 ans.","Voiture de fonction, Assurance santé, Formation continue",30658,"Adaptability, Critical Thinking, Teamwork, Communication",8,12
Operations Manager,,Risk Management,Lead,2024-06-14,26/08/2024,2024-08-26,Juridique,Ghardaïa,Bac,12,CDI,1,"Profil recherché (FR):
Responsabilités: Graphic Design; Maintenance
Profil:
- Research
- Java
- SQL
Compétences: Python, Java
Avantages:
- Communication
- Excel
",Formation continue,39280,"Inventory Control, Process Optimization, Supply Chain Management, Quality Control, Logistics, Lean Management",7,15
Video Editor,,Public Relations,Chief,"Nov 16, 2024",2024-12-07,2024-12-07,Marketing,Tlemcen,Bac,12,Temps plein,10,"Profil recherché (MIX):
Responsabilités:
- Organization
- Technical Writing
- Maintenance
- Communication
- Cloud
Profil:
- Digital Marketing
- Maintenance
- Budgeting
- Technical Writing
Compétences: UX/UI; Graphic Design; Communication; Organization
Avantages: Digital Marketing; Negotiation
",Télétravail partiel,87409,"Docker, Machine Learning, C++, Java",10,16
CTO,,Investor Relations,Junior,20/05/2024,01 August 2024,2024-08-01,Santé,El Oued,Master,18,Volontariat,5,"Contrat: Volontariat. Localisation: El Oued. Département: Finance. En tant que Junior CTO, vous serez amené à coordonner les relations clients. As Junior CTO, you'll design strategic projects.",,49640,"Adaptability, Critical Thinking, Problem Solving, Communication",8,8
Sales Rep,,Training,Mid,16 October 2024,10 December 2024,2024-12-10,Juridique,Hybride,Master,18,Alternance,10,"Profil recherché (MIX):
Responsabilités: Network Security, Budgeting, Maintenance, Negotiation
Profil: Excel; Organization
Compétences: Logistics; Organization; Machine Learning; Coordination; SQL
Avantages:
- Communication
- SEO
",,47972,"Time Management, Problem Solving, Critical Thinking, Communication, Teamwork, Adaptability",0,8
Translator,,Customer Success,Junior,28 June 2024,27/08/2024,2024-08-27,Santé,Annaba,Licence,16,Stage,10,"Contrat: Stage. Localisation: Annaba. Département: Operations. En tant que Junior Translator, vous serez amené à gérer les relations clients. As Junior Translator, you'll design critical projects.","Formation continue, Ticket Restaurant, Voiture de fonction",54921,"Adaptability, Teamwork, Time Management, Problem Solving, Communication, Critical Thinking",7,9
QA Engineer,,Business Development,Lead,01 December 2024,01/02/2025,2025-02-01,Juridique,Annaba,Bac,12,CDI,5,"En tant que Lead QA Engineer, vous serez amené à gérer les relations clients. Expérience requise: 7-11 ans. Éducation: Bac, 12 ans. As Lead QA Engineer, you'll perform strategic projects.","Voiture de fonction, Ticket Restaurant, Prime performance",84643,"Network Security, Python, Machine Learning, DevOps, Docker, Kubernetes, Cloud Computing",7,11
Bioengineer,,Procurement,Chief,"Mar 22, 2025",06 June 2025,2025-06-06,Logistique,Oran,Bac,12,Temporaire,1,"Profil recherché (EN):
Responsabilités:
- Graphic Design
- Excel
- UX/UI
- Python
Profil:
- Graphic Design
- SEO
- Logistics
- Leadership
Compétences: Excel; CAD; Logistics; Python; Compliance
Avantages: Blockchain, Network Security
","Formation continue, Participation bénéfices, Prime performance",79702,"Cloud Computing, Java, Python, Kubernetes",4,7
Social Media Mgr,,Business Development,Senior,"Oct 14, 2024",19 December 2024,2024-12-19,Admin,El Oued,None,0,Temporaire,10,"En tant que Senior Social Media Mgr, vous serez amené à superviser l’équipe. Expérience requise: 4-8 ans. Éducation: None, 0 ans. As Senior Social Media Mgr, you'll design strategic projects.",,53229,"SEO, Google Analytics, Public Relations, Campaign Planning, Content Strategy, Email Marketing, Social Media",4,8
Training Specialist,,Corporate Affairs,Junior,"Sep 13, 2024",02 December 2024,2024-12-02,Admin,Sétif,Bac,12,Alternance,5,"As Junior Training Specialist, you'll perform key projects. En tant que Junior Training Specialist, vous serez amené à gérer les relations clients. Contrat: Alternance. Localisation: Sétif. Département: HR.","Horaires flexibles, Voiture de fonction, Assurance santé",41672,"Adaptability, Communication, Critical Thinking, Problem Solving, Time Management, Teamwork",5,11
Logistics Coord.,,Procurement,Mid,2024-12-27,28 February 2025,2025-02-28,Logistique,Béjaïa,None,0,Temps plein,5,"Profil recherché (EN):
Responsabilités: Java, Network Security, Data Analysis
Profil: Network Security, Project Mgmt, CAD, Machine Learning, Digital Marketing
Compétences: Digital Marketing, Machine Learning, Coordination, Project Mgmt, Teamwork
Avantages: SQL; Leadership; Logistics; Negotiation
",,41631,"Lean Management, Process Optimization, Supply Chain Management, Quality Control, Logistics",1,7
Marketing Manager,,Product,Junior,"Jun 26, 2024",28 August 2024,2024-08-28,Ingénierie,Oran,None,0,Freelance,2,"Profil recherché (FR):
Responsabilités:
- Project Mgmt
- Excel
- Graphic Design
Profil:
- Logistics
- Strategic Planning
Compétences: Project Mgmt, Java, Blockchain, Python, Cloud
Avantages: Data Analysis, Compliance
","Horaires flexibles, Assurance santé",48939,"Public Relations, Social Media, Content Strategy, SEO, Email Marketing",1,7
Bioengineer,,Technical Support,Mid,26 August 2024,2024-10-20,2024-10-20,RH,Tlemcen,Licence,16,Temps plein,3,"En tant que Mid Bioengineer, vous serez amené à développer les processus. As Mid Bioengineer, you'll manage strategic projects. Expérience requise: 8-11 ans. Éducation: Licence, 16 ans.",,87833,"Machine Learning, Docker, SQL, C++",8,11
Digital Marketer,,Procurement,Lead,"Dec 17, 2024",09/01/2025,2025-01-09,Ingénierie,Annaba,None,0,Temps partiel,2,"Profil recherché (EN):
Responsabilités: Customer Service; Technical Writing; Negotiation; Data Analysis
Profil:
- UX/UI
- Coordination
- Project Mgmt
Compétences: Coordination, Budgeting, Excel, Strategic Planning, Leadership
Avantages: Digital Marketing; SQL; Budgeting
","Horaires flexibles, Prime performance",55604,"Python, SQL, Machine Learning, Docker, Kubernetes, Java, DevOps",1,3
Blockchain Dev,,Health & Safety,Mid,17 March 2025,01 April 2025,2025-04-01,Ventes,Saïda,None,0,Stage,10,"Profil recherché (MIX):
Responsabilités:
- Maintenance
- Cloud
- Teamwork
- SEO
- Technical Writing
Profil: Customer Service, Strategic Planning
Compétences: Technical Writing, Machine Learning
Avantages:
- Teamwork
- Graphic Design
- Java
","Prime performance, Formation continue, Voiture de fonction",43650,"Communication, Adaptability, Time Management, Problem Solving",4,7
Customer Service Agent,,Procurement,Lead,24 October 2024,2024-12-28,2024-12-28,Ingénierie,Annaba,Master,18,Volontariat,5,"Contrat: Volontariat. Localisation: Annaba. Département: Legal. Expérience requise: 2-5 ans. Éducation: Master, 18 ans. En tant que Lead Customer Service Agent, vous serez amené à gérer les processus.","Ticket Restaurant, Formation continue, Télétravail partiel",32786,"Data Entry, Office Management, Document Control, Scheduling, Customer Service",2,5
Legal Advisor,,Research & Development,Chief,"Dec 12, 2024",2025-02-07,2025-02-07,Ventes,Tlemcen,Licence,16,Temps partiel,5,"Profil recherché (EN):
Responsabilités:
- Data Analysis
- Research
- Technical Writing
- CAD
- SQL
Profil: Leadership; Java; Excel; Customer Service
Compétences: Machine Learning; Project Mgmt; Communication
Avantages: Organization; Cloud; Java; Coordination; Research
",,44997,"Legal Research, Regulatory Affairs, Compliance, Negotiation, Contract Drafting",5,11
Business Analyst,,Public Relations,Lead,30 January 2025,21/02/2025,2025-02-21,Informatique,Alger,Bac,12,Freelance,2,"As Lead Business Analyst, you'll manage strategic projects. En tant que Lead Business Analyst, vous serez amené à superviser l’équipe. Contrat: Freelance. Localisation: Alger. Département: Legal.","Prime performance, Assurance santé, Télétravail partiel",67534,"Forecasting, Investment Strategies, Audit, Financial Analysis, Excel, Budgeting, Accounting",7,9
Marketing Manager,,IT Support,Lead,"Aug 18, 2024",05/11/2024,2024-11-05,Informatique,Sétif,Doctorat,20,Freelance,2,"En tant que Lead Marketing Manager, vous serez amené à développer les relations clients. As Lead Marketing Manager, you'll perform strategic projects. Expérience requise: 10-20 ans. Éducation: Doctorat, 20 ans.","Assurance santé, Voiture de fonction, Participation bénéfices",46812,"Content Strategy, Public Relations, Social Media, SEO",10,20
Data Scientist,,Health & Safety,Lead,26 April 2024,11 May 2024,2024-05-11,Ingénierie,Tlemcen,Master,18,CDD,2,"As Lead Data Scientist, you'll design strategic projects. Expérience requise: 7-10 ans. Éducation: Master, 18 ans. En tant que Lead Data Scientist, vous serez amené à développer les processus.",Formation continue,85484,"Network Security, DevOps, Cloud Computing, Python, C++, Java, Machine Learning",7,10
Tech Writer,,Public Relations,Mid,06/02/2025,2025-03-21,2025-03-21,Admin,El Oued,Doctorat,20,Volontariat,10,"Contrat: Volontariat. Localisation: El Oued. Département: Finance. Expérience requise: 1-7 ans. Éducation: Doctorat, 20 ans. As Mid Tech Writer, you'll lead critical projects.",Ticket Restaurant,85998,"Java, DevOps, Network Security, Kubernetes, SQL, Python, C++",1,7
Project Manager,,Strategy,Senior,2024-06-02,08 July 2024,2024-07-08,Logistique,El Oued,Master,18,Temps plein,10,"Profil recherché (FR):
Responsabilités:
- Graphic Design
- Project Mgmt
- UX/UI
- Coordination
Profil:
- Budgeting
- Research
- Maintenance
- SEO
- Technical Writing
Compétences: Maintenance; Java; Strategic Planning; Logistics
Avantages: Network Security; Strategic Planning; Data Analysis; Graphic Design
",Participation bénéfices,60969,"Supply Chain Management, Quality Control, Process Optimization, Logistics, Lean Management, Inventory Control",1,10
HR Coordinator,,Research & Development,Chief,29/04/2024,2024-06-02,2024-06-02,Ingénierie,Béjaïa,Master,18,CDI,10,"As Chief HR Coordinator, you'll design critical projects. En tant que Chief HR Coordinator, vous serez amené à gérer les relations clients. Expérience requise: 1-4 ans. Éducation: Master, 18 ans.",Ticket Restaurant,46520,"Onboarding, Employee Relations, Payroll, Training & Development, Recruitment, HRIS, Performance Management",1,4
Restaurant Manager,,Design,Mid,13/11/2024,19/12/2024,2024-12-19,Informatique,Alger,Licence,16,CDI,1,"Profil recherché (MIX):
Responsabilités: Machine Learning; Java; Compliance; Cloud; Logistics
Profil: Leadership; Technical Writing; Cloud
Compétences: Machine Learning, Project Mgmt, Customer Service
Avantages: Data Analysis; Communication; Graphic Design; Compliance
",Horaires flexibles,58772,"Process Optimization, Inventory Control, Supply Chain Management, Lean Management, Logistics, Quality Control",4,10
Risk Manager,,Logistics,Junior,19/09/2024,11/10/2024,2024-10-11,Admin,Blida,Bac,12,Volontariat,3,"En tant que Junior Risk Manager, vous serez amené à gérer les relations clients. Expérience requise: 10-11 ans. Éducation: Bac, 12 ans. Contrat: Volontariat. Localisation: Blida. Département: Finance.","Assurance santé, Formation continue, Participation bénéfices",57018,"Logistics, Quality Control, Inventory Control, Process Optimization",10,11
Software Engineer,,Business Development,Mid,07 November 2024,22 January 2025,2025-01-22,Informatique,Télétravail,Licence,16,Temps plein,5,"Profil recherché (MIX):
Responsabilités: Maintenance; Blockchain; Compliance; SQL
Profil: Research, Digital Marketing
Compétences:
- Customer Service
- Digital Marketing
- Python
Avantages: UX/UI; Java; Project Mgmt; Data Analysis; Excel
","Participation bénéfices, Prime performance, Assurance santé",88803,"C++, Cloud Computing, Python, Network Security, Java",7,17
IT Intern,,Business Development,Lead,2024-11-28,24/12/2024,2024-12-24,Juridique,Béjaïa,Bac,12,Freelance,10,"Contrat: Freelance. Localisation: Béjaïa. Département: Finance. Expérience requise: 8-14 ans. Éducation: Bac, 12 ans. As Lead IT Intern, you'll perform strategic projects.","Voiture de fonction, Télétravail partiel, Horaires flexibles",107355,"C++, Machine Learning, Network Security, Python, SQL",8,14
Cloud Architect,,Compliance,Lead,14 July 2024,01 October 2024,2024-10-01,Logistique,Annaba,Master,18,Alternance,1,"As Lead Cloud Architect, you'll perform critical projects. En tant que Lead Cloud Architect, vous serez amené à superviser l’équipe. Contrat: Alternance. Localisation: Annaba. Département: Sales.",,64549,"Docker, Java, Python, C++",1,6
Fashion Designer,,Procurement,Junior,"Sep 21, 2024",16/10/2024,2024-10-16,Logistique,Tlemcen,Master,18,Volontariat,2,"Expérience requise: 5-7 ans. Éducation: Master, 18 ans. As Junior Fashion Designer, you'll lead innovative projects. En tant que Junior Fashion Designer, vous serez amené à coordonner les relations clients.","Horaires flexibles, Prime performance",59698,"Illustrator, UX Research, Typography, Prototyping, Color Theory",5,7
Civil Engineer,,Risk Management,Senior,11 October 2024,07 December 2024,2024-12-07,Ingénierie,Annaba,Licence,16,CDI,10,"Profil recherché (MIX):
Responsabilités: Teamwork, Python
Profil:
- Compliance
- Budgeting
- Leadership
- Network Security
Compétences:
- Project Mgmt
- Leadership
- CAD
- Organization
- Cloud
Avantages: Strategic Planning, Project Mgmt, Blockchain, Teamwork
",,117336,"Docker, C++, Network Security, SQL, Cloud Computing, DevOps",9,13
Exec. Assistant,,Data Science,Senior,14 January 2025,20/03/2025,2025-03-20,Logistique,Saïda,Bac,12,Volontariat,1,"Profil recherché (EN):
Responsabilités: Technical Writing; Teamwork
Profil:
- Network Security
- Strategic Planning
- Machine Learning
- Compliance
Compétences: Digital Marketing; Java
Avantages: Teamwork, Logistics, Communication, Python
",,49038,"Data Entry, Document Control, Scheduling, Office Management, Customer Service",7,14
Med. Rep,,Logistics,Mid,2024-07-16,12 September 2024,2024-09-12,Informatique,Hybride,Master,18,CDI,3,"As Mid Med. Rep, you'll manage innovative projects. Expérience requise: 2-9 ans. Éducation: Master, 18 ans. Contrat: CDI. Localisation: Hybride. Département: HR.","Voiture de fonction, Télétravail partiel, Assurance santé",43323,"Problem Solving, Adaptability, Teamwork, Critical Thinking, Time Management, Communication",2,9
Operations Manager,,Customer Success,Junior,02/11/2024,2025-01-29,2025-01-29,Informatique,Hybride,Master,18,Stage,2,"En tant que Junior Operations Manager, vous serez amené à superviser l’équipe. As Junior Operations Manager, you'll perform key projects. Expérience requise: 10-17 ans. Éducation: Master, 18 ans.","Ticket Restaurant, Horaires flexibles",49452,"Quality Control, Logistics, Lean Management, Inventory Control, Supply Chain Management",10,17
SEO Specialist,,Customer Success,Mid,"Dec 16, 2024",2025-03-05,2025-03-05,Logistique,Sétif,None,0,Temporaire,5,"Profil recherché (FR):
Responsabilités:
- Cloud
- SEO
- CAD
- Negotiation
Profil: Machine Learning, Data Analysis, Network Security, Customer Service, Teamwork
Compétences:
- Communication
- Logistics
Avantages: Organization; Data Analysis; Strategic Planning; Java; Machine Learning
","Participation bénéfices, Télétravail partiel, Horaires flexibles",64055,"Email Marketing, Content Strategy, Campaign Planning, Google Analytics, Brand Management, SEO, Social Media",2,4
Fashion Designer,,Health & Safety,Lead,19 April 2025,2025-05-21,2025-05-21,Informatique,Télétravail,Licence,16,Temps plein,3,"Profil recherché (FR):
Responsabilités: Cloud; Excel
Profil: Negotiation; Excel; Cloud; Digital Marketing; Python
Compétences:
- SEO
- Digital Marketing
- Negotiation
- Cloud
Avantages: CAD; Budgeting; SQL; Graphic Design
",Prime performance,48889,"Illustrator, Figma, Typography, Prototyping, UX Research, Adobe Photoshop",8,11
Security Officer,,Technical Support,Mid,19/07/2024,2024-09-21,2024-09-21,Admin,Annaba,None,0,Temps plein,5,"Contrat: Temps plein. Localisation: Annaba. Département: Finance. En tant que Mid Security Officer, vous serez amené à développer les systèmes. Expérience requise: 2-6 ans. Éducation: None, 0 ans.","Prime performance, Assurance santé",99469,"Python, Kubernetes, Network Security, Docker, Java, C++, SQL",2,6
Accountant,,Business Development,Mid,07/10/2024,22/11/2024,2024-11-22,Admin,Tizi Ouzou,Bac,12,CDD,10,"Expérience requise: 8-13 ans. Éducation: Bac, 12 ans. En tant que Mid Accountant, vous serez amené à coordonner l’équipe. As Mid Accountant, you'll lead key projects.","Télétravail partiel, Participation bénéfices",52926,"Audit, SAP, Investment Strategies, Budgeting, Risk Management",8,13
Translator,,Health & Safety,Senior,2025-03-24,29/05/2025,2025-05-29,Ingénierie,Télétravail,Master,18,Alternance,2,"Expérience requise: 2-6 ans. Éducation: Master, 18 ans. En tant que Senior Translator, vous serez amené à développer les relations clients. Contrat: Alternance. Localisation: Télétravail. Département: Engineering.",Ticket Restaurant,27422,"Teamwork, Adaptability, Communication, Critical Thinking",2,6
Data Scientist,,Risk Management,Junior,23/04/2025,03 May 2025,2025-05-03,RH,Alger,Master,18,CDD,10,"Contrat: CDD. Localisation: Alger. Département: IT. Expérience requise: 3-11 ans. Éducation: Master, 18 ans. En tant que Junior Data Scientist, vous serez amené à coordonner les relations clients.",Assurance santé,62967,"Docker, DevOps, SQL, Network Security, Java, Python",3,11
