employee_id,age,gender,job_title,department,experience_years,current_salary_dzd,skills
EMPHDXR4M,54,Male,Directeur approvisionnement et planification,Sustainability,11,65568,"Teamwork, Time Management, Time Management, Communication"
EMPVWHKHS,36,Male,Sales Manager  - Électroménager,Data Protection,4,70984,"Problem Solving, Time Management, Piloting"
EMP8MFTHA,26,Female,Aide Mécanique,Research & Development,4,45319,"Communication, Leadership, Leadership, Communication"
EMPMXRYBC,41,Female,Contrôleur de Gestion (CDG),Health & Safety,4,72562,"Teamwork, Leadership, Communication"
EMP9Q8NOD,42,Male,mécanicien auto,Business Intelligence,7,55480,"Communication, Leadership, Culinary Arts, Diving"
EMPLTJU92,56,Female,Vendeur en pharmacie,Procurement,6,52998,"Communication, Teamwork, Piloting"
EMP4RFLC3,44,Female,Superviseur Commercial,Data Protection,6,79059,"Time Management, Problem Solving, Piloting, Communication"
EMPI3KSYX,53,Female,Anesthésiste,Research & Development,4,56146,"Problem Solving, Leadership, Problem Solving"
EMP53GN2J,56,Female,Deléguée Commercial,Research & Development,1,71294,"Leadership, Problem Solving, Communication, Diving"
EMPWAB3CY,23,Male,project manager,Data Protection,8,78681,"Problem Solving, Leadership, Culinary Arts"
EMPYAZ41X,40,Male,Directeur des Ressources Humaines,Innovation,16,79249,"Teamwork, Time Management, Diving, Diving"
EMPJ92KA8,42,Male,ASSISTANTE PDG,Investor Relations,7,70072,"Problem Solving, Leadership, Teamwork"
EMPE0Z0PK,33,Female,Opérateur de Suivi GPS Flotte,Data Protection,5,51968,"Leadership, Problem Solving, Dentistry, Problem Solving"
EMP6P2Y5B,56,Male,Caissier/ Agence Zéralda,Health & Safety,3,61232,"Leadership, Teamwork, Beekeeping, Leadership, Culinary Arts"
EMP49KY9X,31,Female,Gestionnaire de Caisse Senior Oran,Sustainability,4,32731,"Leadership, Problem Solving, Problem Solving, Beekeeping"
EMP9D0HIC,40,Female,ingénieur technico-commercial,Health & Safety,3,81532,"Teamwork, Communication, Dentistry"
EMPIJB65L,52,Female,Développeur expérimenté en AS400,Investor Relations,9,85638,"Problem Solving, Time Management, Dentistry"
EMPXNUAG2,57,Male,Ingénieur sécurité,Procurement,5,75838,"Time Management, Problem Solving, Photography, Communication"
EMPWRT58J,45,Female,Comptable,Innovation,1,77015,"Teamwork, Communication, Piloting, Culinary Arts"
EMPGJYIG5,57,Female,Conseiller(e) Clientèle Corporate / Agence Oran 1,Data Protection,2,72324,"Teamwork, Communication, Time Management"
EMP7ZQ4IO,36,Female,Chargé de la facturation & recouvrement pour la direction des régions,Sustainability,1,35546,"Leadership, Communication, Photography"
EMPSCA48F,27,Male,Superviseur Commercial,Quality Control,6,55095,"Leadership, Time Management, Diving"
EMPR6RX9I,26,Female,Délégué Médical,Sustainability,1,68067,"Leadership, Teamwork, Woodworking, Culinary Arts"
EMP7285GY,24,Male,Responsable etude de marche et cahier des charges,Corporate Affairs,17,92826,"Teamwork, Time Management, Teamwork, Diving"
EMPMBSJHZ,59,Male,Responsable Commercial,Data Protection,13,63879,"Problem Solving, Communication, Beekeeping, Communication"
EMP4FXOFY,50,Male,Cloud Solutions Support Engineer,Procurement,1,77375,"Communication, Time Management, Time Management"
EMPJHW40F,40,Male,Responsable des Études - BECHAR,Investor Relations,6,59970,"Teamwork, Leadership, Woodworking"
EMPP824FL,30,Male,Attaché d'Administration Niv-01,Public Relations,4,65012,"Leadership, Communication, Piloting, Leadership"
EMPCMOGV7,52,Female,COMPTABLE PRINCIPAL,Quality Control,8,82199,"Problem Solving, Communication, Photography, Culinary Arts"
EMPAAMDOS,51,Male,Conseiller(e) Clientèle Corporate / Agence Bainem,Health & Safety,1,62532,"Leadership, Problem Solving, Piloting, Diving"
EMP9X8G5B,57,Male,OPERATEUR SUR MACHINE,Sustainability,7,58306,"Teamwork, Leadership, Communication, Time Management"
EMPIH6FTD,58,Male,Superviseur Qualité,Customer Experience,7,54858,"Leadership, Problem Solving, Photography"
EMPQIFZN3,22,Male,Superviseur Des Ventes (Oran),Investor Relations,7,72314,"Leadership, Communication, Diving, Dentistry"
EMP9WIIC1,56,Female,Agent de stock pharmaceutique,Research & Development,3,55517,"Communication, Time Management, Leadership, Communication"
EMPMJ1NGF,46,Male,Commercial agronome,Data Protection,2,71891,"Problem Solving, Time Management, Photography, Problem Solving"
EMPTV73ZQ,24,Female,Responsable Commercial,Procurement,6,59776,"Teamwork, Leadership, Teamwork"
EMPCBIZGE,46,Male,Calorifuger,Sustainability,1,59542,"Communication, Leadership, Piloting"
EMPUY4L2O,32,Male,Chargé des Finances,Corporate Affairs,12,75857,"Leadership, Problem Solving, Dentistry, Time Management"
EMPCPREJ8,53,Female,Métreur vérificateur,Quality Control,6,28891,"Problem Solving, Teamwork, Woodworking, Diving"
EMP594GTL,43,Female,Ingénieur IT / Administrateur Réseau,Quality Control,1,59839,"Time Management, Problem Solving, Woodworking"
EMP9CRDEM,48,Female,Data Analyst,Procurement,1,73185,"Problem Solving, Leadership, Woodworking, Communication, Photography"
EMPCPW6SF,55,Male,Responsable Technique Odoo,Sustainability,4,65501,"Leadership, Time Management, Culinary Arts"
EMPA8DMK1,40,Female,Directeur Audit et Contrôle Interne,Quality Control,7,76747,"Leadership, Problem Solving, Time Management"
EMPG34SX9,22,Female,Superviseur Commercial,Corporate Affairs,2,70817,"Problem Solving, Teamwork, Communication"
EMPXOH5LE,35,Male,DELEGUE MEDICAL,Quality Control,2,73565,"Teamwork, Problem Solving, Beekeeping, Time Management"
EMP6F15P1,58,Male,Agent Technique / Technicien Helpdesk IT,Public Relations,11,36440,"Leadership, Communication, Diving, Leadership, Photography"
EMPE07GQ3,41,Female,Directeur des Lignes,Data Protection,7,86675,"Time Management, Teamwork, Piloting, Leadership, Time Management"
EMPPNC8EE,45,Female,Responsable Gestion de stock pharmaceutique,Sustainability,7,53724,"Time Management, Teamwork, Piloting, Communication"
EMPP98T6F,40,Male,Chargée de la prospection et  Administration,Innovation,4,34865,"Communication, Time Management, Beekeeping"
EMP3H0F4R,25,Female,Un(e) Technico-Commercial(e),Business Intelligence,1,36117,"Communication, Problem Solving, Culinary Arts"
EMPWIPJWO,42,Male,Directeur d'agence,Research & Development,5,78798,"Time Management, Problem Solving, Communication"
EMPVEKRIT,44,Female,Manager commercial de zone,Customer Experience,5,64366,"Communication, Teamwork, Woodworking, Beekeeping"
EMPG5VGKG,58,Female,Contrôleur de Gestion et de recouvrement,Business Intelligence,1,36054,"Teamwork, Time Management, Woodworking, Communication"
EMP2PKNZB,52,Male,Contrôleur de Gestion Industriel,Innovation,3,68242,"Problem Solving, Leadership, Piloting"
EMPHPGUYA,47,Male,Comptable,Procurement,5,64803,"Leadership, Communication, Diving, Piloting, Teamwork"
EMP8EC3XT,26,Male,Finance Executive,Research & Development,1,29846,"Leadership, Time Management, Piloting, Problem Solving"
EMP34GFDD,31,Female,Conseiller Clientèle de Particuliers / Agence BAINEM,Investor Relations,6,72975,"Communication, Time Management, Piloting, Woodworking"
EMPAI4IDM,34,Male,Responsable maintenance,Public Relations,6,76217,"Teamwork, Communication, Culinary Arts, Leadership, Time Management"
EMP5E6PVC,55,Female,Graphiste / Infographe,Customer Experience,4,26584,"Communication, Teamwork, Teamwork"
EMPOUJW1E,36,Male,Assistant(e) marketing,Data Protection,4,53372,"Teamwork, Communication, Dentistry, Problem Solving, Leadership"
EMPLKONDE,52,Female,Chargé d'Affaires Corporate - Setif (H/F),Corporate Affairs,8,34676,"Problem Solving, Communication, Dentistry"
EMPHK34AK,30,Female,Chargé  des Ventes  produits Eléctroménager,Corporate Affairs,0,54521,"Communication, Teamwork, Woodworking, Leadership"
EMPB5HRNX,47,Female,Digital Manager Junior,Customer Experience,7,65571,"Communication, Leadership, Woodworking, Woodworking, Piloting"
EMPWCLHRQ,37,Female,Chargé de la planification,Corporate Affairs,1,54136,"Leadership, Communication, Leadership, Teamwork"
EMP81BXW7,56,Female,Tourneur / Soudeur,Public Relations,1,63548,"Communication, Time Management, Problem Solving"
EMP08Q7TW,29,Female,Directeur Financement & Planification Financière Groupe,Quality Control,13,91347,"Teamwork, Time Management, Diving, Beekeeping, Dentistry"
EMP9EKK3M,40,Male,Responsable Commercial,Procurement,15,68678,"Time Management, Teamwork, Dentistry"
EMP0VKEAR,28,Male,IT Content & Integration Dev Administrator,Investor Relations,2,65843,"Teamwork, Time Management, Diving, Time Management, Piloting"
EMPE4MG8S,52,Female,developper Web,Data Protection,0,64501,"Time Management, Leadership, Problem Solving"
EMPSXBXSW,31,Male,DIRECTEUR DU MARKETING ET DU DÉVELOPPEMENT DE MARQUE,Health & Safety,6,90329,"Time Management, Leadership, Diving, Problem Solving, Communication"
EMPIAW4WW,31,Male,Commercial Wilaya d'El Meniaa,Procurement,3,57614,"Time Management, Teamwork, Piloting, Communication"
EMPR5WWVI,23,Male,Responsable Commercial,Business Intelligence,1,40675,"Communication, Problem Solving, Teamwork, Leadership"
EMPDIFDK0,46,Male,Vendeur -Canal Agroalimentaire- Alger,Data Protection,5,57516,"Teamwork, Leadership, Leadership, Teamwork"
EMPM55GEG,32,Female,CONTROLEUR DE GESTION,Procurement,2,30177,"Leadership, Time Management, Woodworking, Diving"
EMPEAWXC0,51,Male,Technicien instrumentiste,Public Relations,4,63571,"Problem Solving, Teamwork, Culinary Arts"
EMPBIW512,50,Male,Chargée Communication,Procurement,4,71668,"Communication, Problem Solving, Communication, Problem Solving"
EMPP26DTM,23,Male,Academic manager,Research & Development,3,66615,"Teamwork, Leadership, Diving, Teamwork"
EMP5POPIY,29,Female,Ingénieur Électrique,Innovation,1,70913,"Problem Solving, Leadership, Dentistry, Teamwork"
EMPVGSWJR,41,Male,Sétif: Opérateur Machine Laser et Plasma,Research & Development,1,78070,"Leadership, Time Management, Piloting, Photography"
EMPVDWYMC,23,Female,Team Leader Finance Islamique - Mostaganem,Health & Safety,2,54001,"Problem Solving, Leadership, Piloting, Dentistry"
EMPLBJOXK,37,Male,Responsable des Ressources Humaines,Innovation,8,71737,"Problem Solving, Leadership, Problem Solving"
EMPHA5UGQ,39,Female,Comptable Principal,Customer Experience,5,71878,"Problem Solving, Time Management, Beekeeping, Photography"
EMPOXZRWU,60,Female,ingénieur géotechnicien,Research & Development,2,76990,"Teamwork, Leadership, Teamwork"
EMP2Q9QY3,57,Male,Directeur d'Agence (H/F) Mostaganem,Quality Control,12,86888,"Time Management, Leadership, Dentistry"
EMPC7WJNZ,22,Female,Senior Electro Mechanical Engineer,Public Relations,2,74298,"Teamwork, Problem Solving, Piloting, Communication"
EMPUX9SU5,35,Male,Electricien qualifié sur engins de chantier,Sustainability,8,81810,"Time Management, Communication, Dentistry, Teamwork"
EMP9W5N84,22,Female,CADRE FINANCIER,Health & Safety,7,61358,"Problem Solving, Leadership, Woodworking, Problem Solving"
EMPP58IAI,39,Male,Responsable Management Qualité,Procurement,1,70439,"Communication, Time Management, Leadership, Diving"
EMPOOY4VE,57,Male,chargé des dossiers d'expatriés,Investor Relations,2,68979,"Problem Solving, Teamwork, Time Management, Culinary Arts"
EMPMUNKQ4,24,Male,Ingénieur Chef de mission,Quality Control,3,73420,"Problem Solving, Communication, Beekeeping"
EMPUFLZPA,29,Male,Electromécanincien,Innovation,3,57374,"Teamwork, Time Management, Culinary Arts, Culinary Arts, Diving"
EMP0LHXIV,35,Male,Administrateur Système et Réseau,Public Relations,6,55503,"Problem Solving, Leadership, Beekeeping, Culinary Arts, Communication"
EMPDQZ370,41,Female,Comptable,Corporate Affairs,1,62272,"Problem Solving, Communication, Culinary Arts"
EMPUT47MG,30,Female,Conseiller (ère) commercial (e),Quality Control,1,59564,"Communication, Problem Solving, Piloting, Time Management"
EMPIEZ34C,38,Male,Commercial(e),Research & Development,2,68432,"Time Management, Problem Solving, Dentistry, Photography"
EMPI71T1T,53,Female,Medical Advisor,Investor Relations,4,58637,"Communication, Teamwork, Photography, Time Management, Communication"
EMPJHFRG2,33,Male,Directeur Supply Chain,Business Intelligence,12,93047,"Leadership, Communication, Culinary Arts"
EMPCD8TT2,53,Female,MEULEUR,Public Relations,1,52328,"Communication, Problem Solving, Beekeeping, Teamwork"
EMP16S46U,45,Male,Directeur approvisionnement et planification,Research & Development,16,68927,"Communication, Leadership, Piloting"
EMPY0OX9B,49,Female,Manager / Responsable  Département Instrumentation,Business Intelligence,14,95471,"Time Management, Problem Solving, Diving, Beekeeping"
EMPVAF1TN,57,Male,Délégué commercial,Business Intelligence,3,63671,"Problem Solving, Time Management, Photography, Photography, Teamwork"
EMPUEG29L,25,Female,Agent de Sécurité,Research & Development,5,46751,"Communication, Time Management, Piloting, Time Management"
EMPO3Q8D3,38,Male,Back Office Commercial,Corporate Affairs,4,80962,"Time Management, Leadership, Communication, Beekeeping"
EMPTXR84Z,26,Male,CHARGE PROCUREMENT,Customer Experience,7,56415,"Teamwork, Communication, Beekeeping, Beekeeping, Problem Solving"
EMP7UX5CS,49,Male,Développeurs programmes,Procurement,5,77378,"Time Management, Teamwork, Diving, Communication"
EMPM809Z0,35,Male,Responsable/Directeur des Ressources Humaines,Business Intelligence,7,61046,"Communication, Teamwork, Teamwork, Time Management"
EMPS3C7A7,36,Female,Ingénieur Maintenance et Électromécanique/ Méthode,Business Intelligence,7,67495,"Leadership, Teamwork, Woodworking, Beekeeping, Culinary Arts"
EMPSFHASL,54,Female,Chargé(e) Recouvrement & Finance,Customer Experience,3,57342,"Time Management, Problem Solving, Problem Solving, Beekeeping"
EMPF216Q8,38,Male,COMMERCIAL REGIONNAL (ouest),Procurement,8,61561,"Time Management, Leadership, Diving, Piloting"
EMPEJBXI9,26,Female,Architecte senior DEX,Health & Safety,12,86827,"Time Management, Problem Solving, Time Management"
EMPFOET3Q,50,Female,Vidéo Éditeur / Filmmaker,Research & Development,1,63004,"Teamwork, Problem Solving, Beekeeping, Piloting"
EMP48OAQT,36,Male,Responsable Marketing,Public Relations,6,58624,"Time Management, Teamwork, Piloting"
EMPA14AT0,41,Male,Superviseur de Production,Investor Relations,2,76701,"Leadership, Communication, Communication, Piloting"
EMPDSSKVR,35,Male,Responsable de la Base de Vie,Health & Safety,6,41321,"Problem Solving, Teamwork, Photography, Diving"
EMPII8030,23,Male,Délégué Technico-Commercial,Corporate Affairs,4,65151,"Leadership, Time Management, Beekeeping, Time Management"
EMPR9SD0B,45,Male,Data Engineer,Procurement,2,60286,"Time Management, Communication, Culinary Arts, Beekeeping"
EMP3K7RAR,59,Male,Agent Commercial Polyvalent -( H-F ) Agence Batna,Procurement,0,32376,"Communication, Teamwork, Time Management, Problem Solving"
EMPQ2RB7L,47,Female,Chargé des Opérations,Business Intelligence,1,28539,"Time Management, Leadership, Time Management, Dentistry"
EMPJRXTJ1,35,Male,Sales Manager,Data Protection,7,70295,"Communication, Teamwork, Diving, Diving, Communication"
EMPLZ57IA,39,Female,Agent Vacataire (H-F) Agence Ain Temouchent,Health & Safety,2,34631,"Time Management, Communication, Leadership"
EMPK3XJ9A,54,Female,Aide Cuisinier,Procurement,3,57639,"Communication, Teamwork, Problem Solving, Photography"
EMPAUR73P,53,Female,Opérateur de centre d'appel,Corporate Affairs,1,49819,"Communication, Teamwork, Problem Solving, Photography"
EMPHGDDUE,48,Male,Data Analyst,Corporate Affairs,2,75245,"Communication, Teamwork, Leadership"
EMP1JM61J,23,Female,Chargé de recrutement,Innovation,1,62155,"Problem Solving, Teamwork, Photography, Woodworking"
EMPHBGN3N,56,Male,Sales Representative - Touggourt,Customer Experience,5,77401,"Time Management, Communication, Woodworking, Beekeeping, Problem Solving"
EMPAOVB15,54,Male,Charge de recouvrement,Research & Development,5,53587,"Time Management, Teamwork, Time Management, Beekeeping"
EMP95J2YU,40,Male,Développeur WEB,Health & Safety,2,62729,"Communication, Teamwork, Culinary Arts, Leadership"
EMP0201Z1,37,Female,Responsable fonction Audit et contrôle interne,Research & Development,1,57585,"Communication, Teamwork, Communication"
EMPFWQBGW,45,Male,Sales Representative,Data Protection,2,62992,"Time Management, Leadership, Leadership"
EMPTMP9GY,32,Male,Pricing Solutions,Health & Safety,5,65504,"Communication, Problem Solving, Time Management, Communication"
EMPBHKD1D,59,Male,Chef Magasin Pièces de rechange Auto,Investor Relations,15,53355,"Communication, Teamwork, Diving, Communication"
EMPRJMN8A,33,Male,Manutentionnaire,Sustainability,2,72170,"Problem Solving, Time Management, Dentistry, Communication, Problem Solving"
EMPTKC75Q,26,Female,un(e) Technicien(ne),Investor Relations,3,58006,"Time Management, Leadership, Leadership, Communication"
EMPS1OBWN,22,Male,Responsable GPAO,Public Relations,1,76253,"Time Management, Communication, Culinary Arts, Leadership"
EMPLYIT3Q,33,Female,Tourneur Fraiseur,Quality Control,5,70298,"Problem Solving, Time Management, Diving, Teamwork"
EMPM3VC3H,26,Female,Gestionnaire Administratif,Sustainability,0,52796,"Problem Solving, Teamwork, Dentistry"
EMPHYH394,38,Female,Agent Billetterie,Procurement,2,77005,"Communication, Problem Solving, Teamwork"
EMPPQ6XY5,24,Female,Monteur Vidéo,Business Intelligence,0,66410,"Communication, Leadership, Dentistry"
EMPU73QUQ,32,Male,Responsable Assurance qualité,Business Intelligence,4,69638,"Communication, Leadership, Dentistry"
EMPCVGOU1,56,Female,chef de projet realisation -  chantier de promotion immobilier de  haut standing,Innovation,16,67083,"Teamwork, Leadership, Diving, Culinary Arts"
EMP55OAX3,37,Male,Monteur vidéos,Data Protection,7,63736,"Teamwork, Leadership, Photography, Woodworking"
EMP92YMF7,24,Female,Chargé des achats,Investor Relations,6,58290,"Problem Solving, Teamwork, Time Management, Teamwork"
EMPLOHBBG,30,Male,Commercial,Customer Experience,0,56732,"Communication, Time Management, Beekeeping"
EMP2Z1H1A,59,Female,Superviseur HSE,Research & Development,7,61162,"Time Management, Teamwork, Teamwork, Culinary Arts"
EMPS4N6JH,36,Male,Technico-commerciale ( Ingénieur en électronique ),Quality Control,0,63625,"Teamwork, Leadership, Dentistry, Photography"
EMPY7WI2T,49,Male,Ingénieur Courant Faible,Innovation,12,66500,"Time Management, Leadership, Time Management"
EMPPUWAX3,26,Male,Commercial Wilaya d'El Meniaa,Public Relations,1,62905,"Communication, Teamwork, Dentistry, Leadership"
EMPEDOR68,24,Male,Leader Developer,Quality Control,6,52671,"Leadership, Time Management, Piloting, Culinary Arts, Diving"
EMPO5VGQE,24,Female,Chargé Clientèle,Quality Control,0,63300,"Teamwork, Time Management, Culinary Arts"
EMPHCWRPS,49,Female,Videaste/graphiste freelance ou CDI,Research & Development,4,67666,"Leadership, Problem Solving, Piloting, Communication, Woodworking"
EMPNRYEK3,34,Female,Responsable des Ressources Humaines,Health & Safety,7,60010,"Time Management, Leadership, Photography, Problem Solving"
EMPLDDYB1,49,Female,Comptable,Procurement,4,61683,"Communication, Leadership, Beekeeping, Beekeeping"
EMP7E88KT,56,Female,Superviseur des Ventes,Business Intelligence,7,78158,"Time Management, Communication, Piloting"
EMPWRAEXR,24,Male,Ingénieur mécanique,Innovation,6,55738,"Communication, Teamwork, Problem Solving, Piloting"
EMPI4XUQC,24,Male,Commercial (es/aux),Innovation,1,33344,"Communication, Teamwork, Culinary Arts, Beekeeping"
EMPZC9F1Z,58,Female,Commercial Terrain,Public Relations,2,60925,"Problem Solving, Time Management, Photography"
EMPTVLRFF,36,Female,charger de l’administration général et RH,Corporate Affairs,5,39143,"Leadership, Time Management, Beekeeping"
EMPWWFKIB,57,Female,Responsable Sureté Interne Etablissement,Health & Safety,14,66738,"Teamwork, Leadership, Culinary Arts, Culinary Arts, Teamwork"
EMP0YTXK5,30,Female,Téléconseillers(ères),Corporate Affairs,3,55778,"Teamwork, Problem Solving, Time Management"
EMPRQHJNY,27,Male,Area Sales Manager (Electrification & Energy automation),Innovation,5,59163,"Time Management, Teamwork, Problem Solving"
EMP2OV4JA,60,Male,Graphic Designer,Procurement,4,66990,"Teamwork, Leadership, Culinary Arts, Diving"
EMPZ3I8AQ,23,Female,chef d'equipe realisation CES chantier promotion haut standing,Procurement,10,82573,"Teamwork, Time Management, Beekeeping"
EMPN762EK,35,Female,Chargé de la formation et gestion de carriére,Innovation,3,62731,"Time Management, Leadership, Beekeeping, Communication"
EMP0V7XZ1,35,Male,Gestionnaire de Clientèle Particuliers & Professionnels (H/F),Data Protection,5,52671,"Leadership, Time Management, Photography, Diving"
EMP3Y2BEJ,47,Female,Chargé d'Affaires (Dely Brahim),Sustainability,2,77097,"Communication, Time Management, Dentistry, Leadership, Dentistry"
EMPNAJ68W,29,Female,F&B Operations Manager,Procurement,8,72589,"Problem Solving, Teamwork, Culinary Arts"
EMP682PQ7,46,Female,Chef de Département Maintenance / Agro-Industrie,Corporate Affairs,6,75905,"Problem Solving, Communication, Photography"
EMPAZIOI3,38,Male,Chargé(e) Communication & Digital,Public Relations,12,68862,"Problem Solving, Teamwork, Problem Solving"
EMPNV35Z9,49,Male,SUPERVISEUR HSE,Sustainability,2,63785,"Leadership, Teamwork, Piloting, Problem Solving"
EMPAF5JFN,38,Female,Graphic Disigner & Marketing Executive,Procurement,1,51625,"Communication, Problem Solving, Beekeeping, Time Management"
EMPXDZIDG,40,Male,Maintenance Manager,Sustainability,6,58796,"Communication, Teamwork, Leadership"
EMP88QUN6,55,Male,Senior Brand Manager,Investor Relations,6,61949,"Communication, Time Management, Piloting, Teamwork"
EMPO217ZL,38,Female,DIRECTEUR GÉNÉRAL AGRICOLE ALGERIE H/F,Corporate Affairs,5,77880,"Communication, Time Management, Problem Solving, Teamwork"
EMP345HJ4,37,Male,Correspondant Social,Data Protection,1,60993,"Time Management, Communication, Dentistry"
EMP7V5H6Z,22,Male,Responsable De Production,Sustainability,7,60385,"Leadership, Time Management, Culinary Arts, Problem Solving"
EMPAN2J2K,27,Male,Délégué Commercial,Procurement,3,53592,"Communication, Problem Solving, Culinary Arts, Photography, Diving"
EMPUASSCV,46,Male,Opérateur Production,Sustainability,3,63874,"Communication, Time Management, Communication"
