skills,experience,salary,location,job_interest,sector,education_level,job_id,Approximate Years of Education,education_years,job_type
"Masonry, Safety Procedures, Plumbing, Carpentry, Blueprint Reading",10,149678,Constantine,Construction,Construction,Master's,10014,17.0,17,Full-time
"Legal Research, Regulatory Compliance, Case Management, Contracts, Litigation",1,74634,Blida,Legal,Legal,Ingénieur,10015,17.0,17,Full-time
"Blueprint Reading, Safety Procedures, Plumbing, Carpentry, Site Management",1,130280,Tipaza,Construction,Construction,No Formal Education,10016,0.0,0,Full-time
"Soil Testing, Pest Control, Irrigation, Crop Management",7,127179,Ouargla,Agriculture,Agriculture,Ingénieur,10017,17.0,17,Full-time
"Statistics, Machine Learning, SQL, Python, TensorFlow, Pandas",1,100185,Annaba,Data Science,Information Technology,High School,10018,9.0,12,Full-time
"E-Learning, Classroom Management, Mentoring, Curriculum Design",1,154543,Sidi Bel Abbès,Education,Education,High School,10019,9.0,12,Full-time
"Graphic Design, Creativity, 3D Modeling",4,144423,Chlef,Art & Design,Creative,Bachelor's,10020,12.0,15,Full-time
"Agro-tech, Soil Testing, Tractor Operation, Pest Control, Irrigation",9,98888,Tipaza,Agriculture,Agriculture,High School,10021,9.0,12,Full-time
"Windows Server, Security, Virtualization, Scripting, Linux, Networking",1,44189,Tlemcen,System Administration,Information Technology,High School,10022,9.0,12,Full-time
"Networking, Windows Server, Scripting",4,129642,Bejaia,System Administration,Information Technology,Master's,10023,17.0,17,Full-time
"Network Security, Ethical Hacking, Penetration Testing, Firewalls, SIEM, Forensics",11,115193,Annaba,Cybersecurity,Information Technology,Technical Diploma,10024,,14,Full-time
"Penetration Testing, Forensics, SIEM",6,69218,Ouargla,Cybersecurity,Information Technology,High School,10025,9.0,12,Full-time
"Reservation Systems, Event Planning, Customer Service, Front Desk",1,130677,Tlemcen,Hospitality,Tourism & Hospitality,High School,10026,9.0,12,Full-time
"MATLAB, AutoCAD, Design",4,44662,Ghardaia,Engineering,Engineering,Doctorate,10027,20.0,20,Full-time
"Google Ads, Content Creation, Copywriting, Social Media, SEO, Analytics",4,109485,M'Sila,Marketing,Business,Ingénieur,10028,17.0,17,Full-time
"Supply Chain, Warehouse Ops, Fleet Management",6,102366,Tlemcen,Logistics,Supply Chain,Ingénieur,10029,17.0,17,Full-time
"Content Creation, Copywriting, SEO, Google Ads, Social Media, Analytics",1,183616,Blida,Marketing,Business,Technical Diploma,10030,,14,Full-time
"Routing, Supply Chain, Inventory Management, Fleet Management",1,182700,Ouargla,Logistics,Supply Chain,Ingénieur,10031,17.0,17,Full-time
"Lead Generation, Sales Forecasting, Cold Calling",10,51200,Bejaia,Sales,Business,Ingénieur,10032,17.0,17,Full-time
"Food Safety, Event Planning, Front Desk",2,100021,Tlemcen,Hospitality,Tourism & Hospitality,Doctorate,10033,20.0,20,Full-time
"Customer Service, Reservation Systems, Event Planning",13,128609,Oran,Hospitality,Tourism & Hospitality,Doctorate,10034,20.0,20,Full-time
"Responsive Design, CSS, WordPress, Node.js",4,95657,Mostaganem,Web Development,Information Technology,Doctorate,10035,20.0,20,Full-time
"Node.js, CSS, React, Responsive Design, HTML",4,126014,Tipaza,Web Development,Information Technology,Bachelor's,10036,12.0,15,Full-time
"JavaScript, Python, Django, REST, SQL, Java",1,127697,Blida,Software Engineering,Information Technology,High School,10037,9.0,12,Full-time
"Statistics, Pandas, R, Machine Learning, TensorFlow",6,124820,Ghardaia,Data Science,Information Technology,No Formal Education,10038,0.0,0,Full-time
"Inventory Management, Supply Chain, Warehouse Ops, Routing",3,115813,Batna,Logistics,Supply Chain,No Formal Education,10039,0.0,0,Full-time
"Assessment, E-Learning, Classroom Management, Mentoring, Teaching",3,42092,Sidi Bel Abbès,Education,Education,Master's,10040,17.0,17,Full-time
"Fleet Management, Supply Chain, Inventory Management, Warehouse Ops, Routing",3,103186,Biskra,Logistics,Supply Chain,No Formal Education,10041,0.0,0,Full-time
"Front Desk, Customer Service, Reservation Systems, Event Planning",6,75548,Ouargla,Hospitality,Tourism & Hospitality,Master's,10042,17.0,17,Full-time
"Negotiation, Litigation, Regulatory Compliance, Case Management, Legal Research, Contracts",1,66140,Annaba,Legal,Legal,Bachelor's,10043,12.0,15,Full-time
"CPR, EMR, Phlebotomy, Anatomy, Medical Terminology",11,93553,M'Sila,Healthcare,Health,Technical Diploma,10044,,14,Full-time
"Irrigation, Pest Control, Agro-tech, Tractor Operation, Crop Management, Soil Testing",2,95705,Biskra,Agriculture,Agriculture,Ingénieur,10045,17.0,17,Full-time
"Accounting, Investment, Risk Management, Excel, Financial Analysis, Auditing",1,87961,Batna,Finance,Business,Doctorate,10046,20.0,20,Full-time
"Supply Chain, Fleet Management, Inventory Management, Warehouse Ops",1,137797,Tizi Ouzou,Logistics,Supply Chain,Technical Diploma,10047,,14,Full-time
"Excel, Budgeting, Auditing, Accounting",3,66640,Ghardaia,Finance,Business,Doctorate,10048,20.0,20,Full-time
"CRM, Sales Forecasting, Lead Generation, Cold Calling, Customer Service",6,50206,Constantine,Sales,Business,Master's,10049,17.0,17,Full-time
"Creativity, 3D Modeling, Photoshop, Illustrator",2,89303,Tlemcen,Art & Design,Creative,No Formal Education,10050,0.0,0,Full-time
"UI/UX, Illustrator, Creativity, 3D Modeling, Photoshop",5,115411,Annaba,Art & Design,Creative,Doctorate,10051,20.0,20,Full-time
"Google Ads, Content Creation, Analytics",13,83298,Mostaganem,Marketing,Business,Bachelor's,10052,12.0,15,Full-time
"Network Security, Firewalls, SIEM, Forensics, Ethical Hacking",2,183736,Skikda,Cybersecurity,Information Technology,Bachelor's,10053,12.0,15,Full-time
"Masonry, Plumbing, Safety Procedures, Site Management, Carpentry, Blueprint Reading",5,151361,Ghardaia,Construction,Construction,Doctorate,10054,20.0,20,Full-time
"Machine Learning, R, Python, Statistics",3,60545,Ghardaia,Data Science,Information Technology,Doctorate,10055,20.0,20,Full-time
"Spring, C++, Django, SQL",1,182475,Sidi Bel Abbès,Software Engineering,Information Technology,High School,10056,9.0,12,Full-time
"Phlebotomy, EMR, Medical Terminology, Anatomy, CPR, Patient Care",3,176797,Relizane,Healthcare,Health,No Formal Education,10057,0.0,0,Full-time
"JavaScript, HTML, React, WordPress, Node.js",10,114809,Blida,Web Development,Information Technology,Bachelor's,10058,12.0,15,Full-time
"Phlebotomy, Medical Terminology, EMR, Patient Care",1,47510,Chlef,Healthcare,Health,Bachelor's,10059,12.0,15,Full-time
"Git, Python, Django, Java",12,85261,Biskra,Software Engineering,Information Technology,High School,10060,9.0,12,Full-time
"Penetration Testing, Firewalls, SIEM",9,119456,Skikda,Cybersecurity,Information Technology,Master's,10061,17.0,17,Full-time
"Graphic Design, Creativity, UI/UX, Photoshop",5,95856,Mostaganem,Art & Design,Creative,High School,10062,9.0,12,Full-time
"Budgeting, Financial Analysis, Investment, Excel",5,147077,Skikda,Finance,Business,Master's,10063,17.0,17,Full-time
"Creativity, Illustrator, Photoshop, Graphic Design, UI/UX",1,71990,Algiers,Art & Design,Creative,Doctorate,10064,20.0,20,Full-time
"Masonry, Safety Procedures, Plumbing",1,85334,Tlemcen,Construction,Construction,Technical Diploma,10065,,14,Full-time
"CPR, Phlebotomy, Anatomy",1,74418,Skikda,Healthcare,Health,Doctorate,10066,20.0,20,Full-time
"3D Modeling, UI/UX, Illustrator, Photoshop",2,141976,Biskra,Art & Design,Creative,No Formal Education,10067,0.0,0,Full-time
"TensorFlow, Python, R, Pandas",4,119789,Ouargla,Data Science,Information Technology,Technical Diploma,10068,,14,Full-time
"Google Ads, Copywriting, Social Media",2,81079,Batna,Marketing,Business,Ingénieur,10069,17.0,17,Full-time
"EMR, Medical Terminology, CPR",2,72158,Algiers,Healthcare,Health,Doctorate,10070,20.0,20,Full-time
"Linux, Networking, Virtualization, Windows Server, Security",4,95390,Oran,System Administration,Information Technology,Doctorate,10071,20.0,20,Full-time
"Creativity, Illustrator, UI/UX, Graphic Design, Photoshop",2,89226,Ouargla,Art & Design,Creative,Master's,10072,17.0,17,Full-time
"Risk Management, Excel, Auditing, Investment, Accounting, Financial Analysis",1,120614,Ouargla,Finance,Business,Bachelor's,10073,12.0,15,Full-time
"Data Visualization, TensorFlow, Pandas, Machine Learning",1,76756,Skikda,Data Science,Information Technology,Bachelor's,10074,12.0,15,Full-time
"Case Management, Legal Research, Litigation, Negotiation, Regulatory Compliance",5,152696,Mostaganem,Legal,Legal,Ingénieur,10075,17.0,17,Full-time
"Case Management, Negotiation, Litigation, Legal Research, Regulatory Compliance",4,102160,Tipaza,Legal,Legal,Bachelor's,10076,12.0,15,Full-time
"SIEM, Penetration Testing, Network Security, Forensics",2,48125,Blida,Cybersecurity,Information Technology,Master's,10077,17.0,17,Full-time
"Ethical Hacking, SIEM, Penetration Testing, Network Security, Forensics",7,69605,Ghardaia,Cybersecurity,Information Technology,Bachelor's,10078,12.0,15,Full-time
"Machine Learning, SQL, Pandas, R, Statistics, TensorFlow",12,116975,Annaba,Data Science,Information Technology,Ingénieur,10079,17.0,17,Full-time
"Project Management, Blueprint Reading, AutoCAD, SolidWorks, Design, MATLAB",3,59062,Batna,Engineering,Engineering,Master's,10080,17.0,17,Full-time
"Risk Management, Accounting, Budgeting, Excel, Investment, Financial Analysis",2,87775,Skikda,Finance,Business,Doctorate,10081,20.0,20,Full-time
"Patient Care, Anatomy, CPR, Phlebotomy, Medical Terminology, EMR",6,159728,Bejaia,Healthcare,Health,High School,10082,9.0,12,Full-time
"Plumbing, Safety Procedures, Carpentry",1,92174,Biskra,Construction,Construction,Doctorate,10083,20.0,20,Full-time
"Irrigation, Pest Control, Soil Testing, Tractor Operation",1,123242,M'Sila,Agriculture,Agriculture,Bachelor's,10084,12.0,15,Full-time
"Spring, JavaScript, SQL, Java, Git",1,145340,Annaba,Software Engineering,Information Technology,High School,10085,9.0,12,Full-time
"HTML, WordPress, Node.js, Responsive Design, CSS, JavaScript",13,101985,Skikda,Web Development,Information Technology,Technical Diploma,10086,,14,Full-time
"SIEM, Forensics, Firewalls, Network Security, Ethical Hacking",2,133358,Chlef,Cybersecurity,Information Technology,Doctorate,10087,20.0,20,Full-time
"Django, REST, C++, JavaScript",1,67540,Setif,Software Engineering,Information Technology,Doctorate,10088,20.0,20,Full-time
"C++, Python, SQL, Java, Django",7,69060,Tizi Ouzou,Software Engineering,Information Technology,Bachelor's,10089,12.0,15,Full-time
"Budgeting, Risk Management, Investment, Financial Analysis, Excel",2,113171,Batna,Finance,Business,Ingénieur,10090,17.0,17,Full-time
"SQL, TensorFlow, Machine Learning, Python, Pandas",3,57375,Mostaganem,Data Science,Information Technology,Master's,10091,17.0,17,Full-time
"Regulatory Compliance, Negotiation, Legal Research, Litigation, Case Management, Contracts",2,133387,Oran,Legal,Legal,No Formal Education,10092,0.0,0,Full-time
"Plumbing, Safety Procedures, Blueprint Reading, Carpentry, Masonry",1,49389,Bejaia,Construction,Construction,Doctorate,10093,20.0,20,Full-time
"Reservation Systems, Event Planning, Food Safety, Customer Service",1,68157,Sidi Bel Abbès,Hospitality,Tourism & Hospitality,High School,10094,9.0,12,Full-time
"Agro-tech, Pest Control, Tractor Operation",3,86291,Tlemcen,Agriculture,Agriculture,Master's,10095,17.0,17,Full-time
"Fleet Management, Inventory Management, Warehouse Ops, Supply Chain",10,189937,Algiers,Logistics,Supply Chain,Technical Diploma,10096,,14,Full-time
"UI/UX, Illustrator, Creativity, Graphic Design",3,109570,Ghardaia,Art & Design,Creative,Doctorate,10097,20.0,20,Full-time
"Accounting, Budgeting, Excel, Risk Management, Financial Analysis, Investment",3,103860,Bejaia,Finance,Business,Bachelor's,10098,12.0,15,Full-time
"Photoshop, UI/UX, Illustrator, 3D Modeling, Graphic Design, Creativity",1,51996,M'Sila,Art & Design,Creative,High School,10099,9.0,12,Full-time
"Negotiation, Cold Calling, Lead Generation, Customer Service",6,60094,Relizane,Sales,Business,No Formal Education,10100,0.0,0,Full-time
"Git, Python, Django, Spring, REST",3,62329,Setif,Software Engineering,Information Technology,Ingénieur,10101,17.0,17,Full-time
"Inventory Management, Fleet Management, Supply Chain",11,99596,Constantine,Logistics,Supply Chain,High School,10102,9.0,12,Full-time
"Crop Management, Pest Control, Tractor Operation, Soil Testing",2,112443,Biskra,Agriculture,Agriculture,High School,10103,9.0,12,Full-time
"Creativity, Photoshop, Illustrator, UI/UX, Graphic Design, 3D Modeling",5,112468,Oran,Art & Design,Creative,Master's,10104,17.0,17,Full-time
"Assessment, E-Learning, Mentoring, Teaching, Curriculum Design, Classroom Management",1,68056,Setif,Education,Education,Bachelor's,10105,12.0,15,Full-time
"Curriculum Design, E-Learning, Assessment, Classroom Management, Teaching, Mentoring",7,163694,Setif,Education,Education,High School,10106,9.0,12,Full-time
"Penetration Testing, SIEM, Forensics, Ethical Hacking, Firewalls, Network Security",1,71582,Chlef,Cybersecurity,Information Technology,Bachelor's,10107,12.0,15,Full-time
"Reservation Systems, Front Desk, Food Safety, Customer Service, Event Planning",1,126637,Chlef,Hospitality,Tourism & Hospitality,Bachelor's,10108,12.0,15,Full-time
"Copywriting, Branding, SEO, Analytics",7,44047,Oran,Marketing,Business,Ingénieur,10109,17.0,17,Full-time
"UI/UX, Photoshop, 3D Modeling",6,135154,Batna,Art & Design,Creative,Technical Diploma,10110,,14,Full-time
"Design, AutoCAD, MATLAB, SolidWorks",7,143179,Setif,Engineering,Engineering,No Formal Education,10111,0.0,0,Full-time
"Branding, Analytics, SEO, Copywriting",10,99772,Chlef,Marketing,Business,Bachelor's,10112,12.0,15,Full-time
"JavaScript, C++, Spring, Django, REST, Java",14,55589,Skikda,Software Engineering,Information Technology,No Formal Education,10113,0.0,0,Full-time
"UI/UX, Graphic Design, Illustrator, 3D Modeling, Photoshop, Creativity",3,98883,Ouargla,Art & Design,Creative,Ingénieur,10114,17.0,17,Full-time
"Plumbing, Blueprint Reading, Safety Procedures, Site Management",15,71944,Ghardaia,Construction,Construction,Bachelor's,10115,12.0,15,Full-time
"Legal Research, Negotiation, Case Management, Litigation, Contracts",2,60927,Bordj Bou Arreridj,Legal,Legal,Technical Diploma,10116,,14,Full-time
"Ethical Hacking, Forensics, Network Security, SIEM",4,72083,Skikda,Cybersecurity,Information Technology,Master's,10117,17.0,17,Full-time
"Content Creation, Google Ads, Branding",4,148998,Ghardaia,Marketing,Business,High School,10118,9.0,12,Full-time
"JavaScript, Python, SQL, Spring",10,75165,Setif,Software Engineering,Information Technology,Technical Diploma,10119,,14,Full-time
"CRM, Sales Forecasting, Cold Calling",12,142288,Tipaza,Sales,Business,Bachelor's,10120,12.0,15,Full-time
"Firewalls, Ethical Hacking, SIEM, Forensics, Penetration Testing",3,72383,Mostaganem,Cybersecurity,Information Technology,Doctorate,10121,20.0,20,Full-time
"Project Management, AutoCAD, SolidWorks",3,84206,Chlef,Engineering,Engineering,No Formal Education,10122,0.0,0,Full-time
"Windows Server, Scripting, Networking, Virtualization",2,70059,Bordj Bou Arreridj,System Administration,Information Technology,Master's,10123,17.0,17,Full-time
"Teaching, Assessment, Mentoring, E-Learning, Curriculum Design, Classroom Management",1,88136,Ghardaia,Education,Education,Technical Diploma,10124,,14,Full-time
"Content Creation, Analytics, Branding, Copywriting, SEO, Google Ads",7,99374,Ouargla,Marketing,Business,Technical Diploma,10125,,14,Full-time
"CSS, WordPress, React, Node.js, Responsive Design, JavaScript",1,71362,Tlemcen,Web Development,Information Technology,Ingénieur,10126,17.0,17,Full-time
"Customer Service, Food Safety, Event Planning, Reservation Systems, Front Desk",1,110106,Biskra,Hospitality,Tourism & Hospitality,Technical Diploma,10127,,14,Full-time
"Design, Project Management, MATLAB, AutoCAD, Blueprint Reading, SolidWorks",8,46912,Batna,Engineering,Engineering,Doctorate,10128,20.0,20,Full-time
"Branding, Content Creation, Social Media, SEO, Copywriting, Google Ads",4,76279,Biskra,Marketing,Business,Ingénieur,10129,17.0,17,Full-time
"Design, Project Management, SolidWorks, AutoCAD, MATLAB",15,148915,Annaba,Engineering,Engineering,Master's,10130,17.0,17,Full-time
"Cold Calling, Negotiation, Customer Service, CRM",13,56899,Oran,Sales,Business,Technical Diploma,10131,,14,Full-time
"CPR, Patient Care, Phlebotomy, EMR, Anatomy",1,86805,Tipaza,Healthcare,Health,No Formal Education,10132,0.0,0,Full-time
"Branding, Analytics, Content Creation, Social Media",1,67573,Tizi Ouzou,Marketing,Business,Master's,10133,17.0,17,Full-time
"Windows Server, Virtualization, Networking, Security",2,133905,Biskra,System Administration,Information Technology,Doctorate,10134,20.0,20,Full-time
"Negotiation, Cold Calling, CRM, Lead Generation, Sales Forecasting",1,184242,Ghardaia,Sales,Business,No Formal Education,10135,0.0,0,Full-time
"CRM, Lead Generation, Cold Calling, Negotiation, Customer Service",1,83589,Setif,Sales,Business,Doctorate,10136,20.0,20,Full-time
"Illustrator, Creativity, 3D Modeling, UI/UX",3,166333,Ouargla,Art & Design,Creative,Technical Diploma,10137,,14,Full-time
"Food Safety, Reservation Systems, Event Planning, Customer Service",8,100615,Skikda,Hospitality,Tourism & Hospitality,Master's,10138,17.0,17,Full-time
"Networking, Windows Server, Security, Virtualization, Linux, Scripting",2,40630,Sidi Bel Abbès,System Administration,Information Technology,Master's,10139,17.0,17,Full-time
"Cold Calling, Sales Forecasting, Lead Generation",2,42968,Ghardaia,Sales,Business,Bachelor's,10140,12.0,15,Full-time
"Reservation Systems, Front Desk, Food Safety, Customer Service",6,99046,Bejaia,Hospitality,Tourism & Hospitality,Technical Diploma,10141,,14,Full-time
"Supply Chain, Fleet Management, Inventory Management",2,59958,Ouargla,Logistics,Supply Chain,Ingénieur,10142,17.0,17,Full-time
"Carpentry, Safety Procedures, Blueprint Reading, Masonry",4,78777,Algiers,Construction,Construction,Ingénieur,10143,17.0,17,Full-time
"Phlebotomy, Anatomy, Medical Terminology, EMR, Patient Care",2,93108,Oran,Healthcare,Health,Master's,10144,17.0,17,Full-time
"WordPress, HTML, JavaScript, React, CSS, Responsive Design",1,113185,Bejaia,Web Development,Information Technology,Doctorate,10145,20.0,20,Full-time
"Mentoring, Classroom Management, E-Learning, Assessment",1,81529,M'Sila,Education,Education,Doctorate,10146,20.0,20,Full-time
"Design, SolidWorks, Project Management, Blueprint Reading, AutoCAD",6,52446,Chlef,Engineering,Engineering,No Formal Education,10147,0.0,0,Full-time
"Photoshop, UI/UX, Graphic Design",7,161924,Ghardaia,Art & Design,Creative,No Formal Education,10148,0.0,0,Full-time
"Customer Service, Lead Generation, Negotiation, Cold Calling, CRM",1,56657,Algiers,Sales,Business,No Formal Education,10149,0.0,0,Full-time
"Anatomy, Phlebotomy, Patient Care",1,78960,Tipaza,Healthcare,Health,Ingénieur,10150,17.0,17,Full-time
"React, WordPress, JavaScript, Responsive Design, CSS, HTML",10,76992,Tlemcen,Web Development,Information Technology,High School,10151,9.0,12,Full-time
"React, HTML, Node.js, JavaScript",5,128419,Tipaza,Web Development,Information Technology,High School,10152,9.0,12,Full-time
"EMR, CPR, Patient Care",2,99180,Bejaia,Healthcare,Health,Ingénieur,10153,17.0,17,Full-time
"Illustrator, 3D Modeling, Photoshop, Creativity, Graphic Design, UI/UX",7,146803,Tipaza,Art & Design,Creative,Ingénieur,10154,17.0,17,Full-time
"EMR, Phlebotomy, CPR, Anatomy, Medical Terminology",3,117416,Ouargla,Healthcare,Health,Doctorate,10155,20.0,20,Full-time
"Plumbing, Masonry, Blueprint Reading",1,83176,Skikda,Construction,Construction,Master's,10156,17.0,17,Full-time
"Medical Terminology, Phlebotomy, Anatomy",14,77377,Sidi Bel Abbès,Healthcare,Health,Doctorate,10157,20.0,20,Full-time
"Case Management, Negotiation, Legal Research, Contracts, Regulatory Compliance, Litigation",5,76452,Annaba,Legal,Legal,High School,10158,9.0,12,Full-time
"Creativity, 3D Modeling, Photoshop, Graphic Design, UI/UX",6,131296,Annaba,Art & Design,Creative,Technical Diploma,10159,,14,Full-time
"CSS, Responsive Design, HTML, WordPress",1,85050,Tizi Ouzou,Web Development,Information Technology,Master's,10160,17.0,17,Full-time
"Linux, Security, Networking, Windows Server, Virtualization",1,100236,Algiers,System Administration,Information Technology,Technical Diploma,10161,,14,Full-time
"Blueprint Reading, Site Management, Plumbing",14,69107,Tlemcen,Construction,Construction,Bachelor's,10162,12.0,15,Full-time
"Virtualization, Windows Server, Networking, Scripting, Linux, Security",3,100523,Ouargla,System Administration,Information Technology,Technical Diploma,10163,,14,Full-time
"Food Safety, Front Desk, Event Planning",13,177408,Oran,Hospitality,Tourism & Hospitality,Master's,10164,17.0,17,Full-time
"Node.js, WordPress, Responsive Design, React, HTML",2,80646,Blida,Web Development,Information Technology,Doctorate,10165,20.0,20,Full-time
"MATLAB, Blueprint Reading, Design, Project Management, SolidWorks",2,144956,Oran,Engineering,Engineering,No Formal Education,10166,0.0,0,Full-time
"Soil Testing, Irrigation, Tractor Operation, Crop Management, Agro-tech, Pest Control",1,73653,Relizane,Agriculture,Agriculture,Master's,10167,17.0,17,Full-time
"Spring, C++, Java, Git",6,52049,Chlef,Software Engineering,Information Technology,Bachelor's,10168,12.0,15,Full-time
"Legal Research, Contracts, Litigation, Negotiation, Case Management",1,110541,M'Sila,Legal,Legal,No Formal Education,10169,0.0,0,Full-time
"SQL, Git, Python",4,68053,Bordj Bou Arreridj,Software Engineering,Information Technology,Bachelor's,10170,12.0,15,Full-time
"Phlebotomy, CPR, Medical Terminology, Anatomy, Patient Care",3,121337,Biskra,Healthcare,Health,No Formal Education,10171,0.0,0,Full-time
"Site Management, Carpentry, Plumbing, Masonry",2,65568,Sidi Bel Abbès,Construction,Construction,Master's,10172,17.0,17,Full-time
"Branding, Social Media, Content Creation, Copywriting, SEO, Google Ads",6,55271,Biskra,Marketing,Business,Technical Diploma,10173,,14,Full-time
"Reservation Systems, Customer Service, Front Desk",14,57203,Batna,Hospitality,Tourism & Hospitality,Bachelor's,10174,12.0,15,Full-time
"MATLAB, Design, SolidWorks, Project Management, AutoCAD",2,127565,Sidi Bel Abbès,Engineering,Engineering,Master's,10175,17.0,17,Full-time
"Social Media, Content Creation, Copywriting, Branding, SEO, Google Ads",6,67981,Algiers,Marketing,Business,Doctorate,10176,20.0,20,Full-time
"Excel, Auditing, Investment",14,110980,Constantine,Finance,Business,Master's,10177,17.0,17,Full-time
"Windows Server, Virtualization, Scripting, Networking, Linux",1,106861,Setif,System Administration,Information Technology,Master's,10178,17.0,17,Full-time
"Pest Control, Irrigation, Agro-tech, Tractor Operation",8,128235,Relizane,Agriculture,Agriculture,High School,10179,9.0,12,Full-time
"Linux, Virtualization, Windows Server",5,52792,Batna,System Administration,Information Technology,Technical Diploma,10180,,14,Full-time
"WordPress, CSS, Responsive Design, JavaScript, HTML",10,118857,Relizane,Web Development,Information Technology,Bachelor's,10181,12.0,15,Full-time
"Ethical Hacking, SIEM, Firewalls, Penetration Testing, Forensics",1,59168,Setif,Cybersecurity,Information Technology,Doctorate,10182,20.0,20,Full-time
"Irrigation, Pest Control, Soil Testing, Crop Management, Tractor Operation, Agro-tech",4,119754,Mostaganem,Agriculture,Agriculture,Ingénieur,10183,17.0,17,Full-time
"Graphic Design, Creativity, 3D Modeling, UI/UX, Photoshop, Illustrator",1,59026,Ouargla,Art & Design,Creative,Master's,10184,17.0,17,Full-time
"Event Planning, Food Safety, Reservation Systems",6,51802,Bordj Bou Arreridj,Hospitality,Tourism & Hospitality,High School,10185,9.0,12,Full-time
"Safety Procedures, Plumbing, Masonry, Carpentry, Site Management, Blueprint Reading",1,172790,Setif,Construction,Construction,No Formal Education,10186,0.0,0,Full-time
"Assessment, Classroom Management, Mentoring, Curriculum Design, E-Learning, Teaching",13,43105,Setif,Education,Education,No Formal Education,10187,0.0,0,Full-time
"Creativity, Graphic Design, Photoshop, 3D Modeling, Illustrator",1,110461,Constantine,Art & Design,Creative,Ingénieur,10188,17.0,17,Full-time
"Creativity, Photoshop, 3D Modeling, Illustrator, UI/UX, Graphic Design",13,66084,Relizane,Art & Design,Creative,Master's,10189,17.0,17,Full-time
"Case Management, Legal Research, Regulatory Compliance, Litigation",1,174142,Algiers,Legal,Legal,High School,10190,9.0,12,Full-time
"CSS, HTML, WordPress",7,67679,Relizane,Web Development,Information Technology,No Formal Education,10191,0.0,0,Full-time
"REST, Django, Spring, SQL, JavaScript, C++",5,70769,Tipaza,Software Engineering,Information Technology,Technical Diploma,10192,,14,Full-time
"Python, R, Statistics",8,60488,Constantine,Data Science,Information Technology,No Formal Education,10193,0.0,0,Full-time
"Social Media, Analytics, SEO",3,41856,Bejaia,Marketing,Business,No Formal Education,10194,0.0,0,Full-time
"AutoCAD, MATLAB, SolidWorks, Blueprint Reading",4,148134,Biskra,Engineering,Engineering,Technical Diploma,10195,,14,Full-time
"Network Security, Penetration Testing, Firewalls",6,120242,Tipaza,Cybersecurity,Information Technology,Master's,10196,17.0,17,Full-time
"Front Desk, Event Planning, Reservation Systems, Customer Service, Food Safety",11,192375,Ghardaia,Hospitality,Tourism & Hospitality,Technical Diploma,10197,,14,Full-time
"Negotiation, CRM, Sales Forecasting, Cold Calling, Customer Service",5,100995,M'Sila,Sales,Business,High School,10198,9.0,12,Full-time
"Ethical Hacking, Penetration Testing, Firewalls, Forensics, SIEM, Network Security",2,107326,Tipaza,Cybersecurity,Information Technology,Technical Diploma,10199,,14,Full-time
"Case Management, Legal Research, Regulatory Compliance, Litigation, Negotiation, Contracts",2,90011,Biskra,Legal,Legal,Bachelor's,10200,12.0,15,Full-time
"Virtualization, Linux, Scripting",9,137307,Ghardaia,System Administration,Information Technology,Doctorate,10201,20.0,20,Full-time
"CRM, Cold Calling, Negotiation, Lead Generation, Sales Forecasting",1,121408,Batna,Sales,Business,Master's,10202,17.0,17,Full-time
"R, Statistics, Pandas, Machine Learning, Python, Data Visualization",11,167301,Bejaia,Data Science,Information Technology,Master's,10203,17.0,17,Full-time
