employee_id,age,gender,job_title,department,experience_years,current_salary_dzd,skills,sector
EMP2ADMYN,38,Female,Ingénieur Electricité ( Suivi),Data,7,65195,"Network Security, Java, C++, UX/UI",Ventes
EMP7XERH5,47,Female,Responsable Business Développement,Design,3,60367,"Communication, Adaptability, Problem Solving, Time Management, Teamwork",Ingénierie
EMP80E3MS,41,Male,Développeur FULLSTACK Mobile,Procurement,7,82314,"Kubernetes, Cloud Computing, Java",Ventes
EMP0UBWVR,39,Male,Night Auditor,Research,2,64930,"Python, Network Security, UX/UI, Kubernetes, Docker",Ventes
EMPH4J7SC,60,Female,Responsable Qualité Fournisseurs & Clients ( Qualité Supply Chain),Affairs,6,96829,"Python, UX/UI, Network Security, Docker, Cloud Computing",Santé
EMPKY8JCC,48,Female,Directeur Technico-Commercial – Secteur Électroménager,IT,1,71077,"Time Management, Adaptability, Teamwork, Problem Solving, Communication",Logistique
EMP86ITJA,45,Male,Agent d'Accueil,&,6,64226,"Communication, Problem Solving, Teamwork, Time Management",Ingénierie
EMPK22PRZ,29,Male,assistant(e) medical,Compliance,1,58285,"Patient Care, Medical Terminology, Pharmacovigilance",RH
EMP2S6HR3,34,Male,Agent De Nettoyage,Research,1,58901,"Adaptability, Problem Solving, Communication, Teamwork, Time Management",Admin
EMPDNCL9B,23,Female,Chargé des Opérations,IT,2,36873,"Communication, Adaptability, Teamwork, Problem Solving, Time Management",RH
EMPTXRQJI,44,Male,ASSISTANTE CONTROLE DE GESTION,Relations,1,63555,"Office Management, Data Entry, Customer Service, Scheduling, Document Control",Marketing
EMPJI1N7H,29,Female,Commercial Immobilier,Business,0,68090,"Problem Solving, Communication, Teamwork, Adaptability, Time Management",Logistique
EMPN065IW,56,Male,Chargé(e) des Opérations / chargé(e) Clientèle,Procurement,4,57817,"Time Management, Teamwork, Adaptability, Problem Solving",Admin
EMPGCTOS0,58,Male,Comptable Principal,Health,2,54098,"Problem Solving, Teamwork, Communication, Time Management",Marketing
EMPFLMAST,28,Male,Secrétaire Notarial,Safety,1,72134,"Teamwork, Problem Solving, Adaptability, Time Management, Communication",Informatique
EMPBUPI8T,39,Female,Technicien IT,Quality,2,72567,"Java, Docker, SQL, C++",Ventes
EMPGO20UX,60,Female,Technicien supérieur en maintenance véhicule léger,Management,0,61405,"Problem Solving, Adaptability, Time Management, Communication, Teamwork",RH
EMPHDXR4M,54,Male,Directeur approvisionnement et planification,Risk,11,65568,"DevOps, Java, Kubernetes, Cloud Computing",Ventes
EMPVWHKHS,36,Male,Sales Manager  - Électroménager,Business,4,70984,"Teamwork, Adaptability, Communication, Problem Solving, Time Management",Admin
EMP8MFTHA,26,Female,Aide Mécanique,Technical,4,45319,"Teamwork, Problem Solving, Adaptability, Communication",Logistique
EMPMXRYBC,41,Female,Contrôleur de Gestion (CDG),Quality,4,72562,"Adaptability, Communication, Time Management",Ventes
EMP9Q8NOD,42,Male,mécanicien auto,Design,7,55480,"Communication, Adaptability, Problem Solving, Time Management",Admin
EMPLTJU92,56,Female,Vendeur en pharmacie,Affairs,6,52998,"HIPAA Compliance, Clinical Trials, Medical Terminology, Pharmacovigilance, Patient Care",Ingénierie
EMP4RFLC3,44,Female,Superviseur Commercial,Strategy,6,79059,"Time Management, Adaptability, Communication, Problem Solving, Teamwork",Finance
EMPI3KSYX,53,Female,Anesthésiste,Product,4,56146,"Time Management, Adaptability, Teamwork, Problem Solving, Communication",Santé
EMP53GN2J,56,Female,Deléguée Commercial,Business,1,71294,"Time Management, Problem Solving, Teamwork, Communication, Adaptability",RH
EMPWAB3CY,23,Male,project manager,Assurance,8,78681,"Teamwork, Time Management, Communication, Problem Solving, Adaptability",Marketing
EMPYAZ41X,40,Male,Directeur des Ressources Humaines,Investor,16,79249,"Teamwork, Problem Solving, Adaptability, Communication, Time Management",Finance
EMPJ92KA8,42,Male,ASSISTANTE PDG,Research,7,70072,"Customer Service, Document Control, Office Management, Scheduling, Data Entry",Informatique
EMPE0Z0PK,33,Female,Opérateur de Suivi GPS Flotte,Management,5,51968,"Prototyping, Figma, Sketch, Color Theory, UX Research",Santé
EMP6P2Y5B,56,Male,Caissier/ Agence Zéralda,Technical,3,61232,"Communication, Adaptability, Time Management",Finance
EMP49KY9X,31,Female,Gestionnaire de Caisse Senior Oran,IT,4,32731,"Adaptability, Time Management, Communication, Teamwork, Problem Solving",Logistique
EMP9D0HIC,40,Female,ingénieur technico-commercial,Success,3,81532,"Problem Solving, Communication, Adaptability, Time Management, Teamwork",Informatique
EMPIJB65L,52,Female,Développeur expérimenté en AS400,Logistics,9,85638,"Teamwork, Problem Solving, Time Management, Communication, Adaptability",Ventes
EMPXNUAG2,57,Male,Ingénieur sécurité,Administration,5,75838,"Kubernetes, Network Security, DevOps, UX/UI",Juridique
EMPWRT58J,45,Female,Comptable,Development,1,77015,"Adaptability, Communication, Problem Solving, Time Management, Teamwork",Informatique
EMPGJYIG5,57,Female,Conseiller(e) Clientèle Corporate / Agence Oran 1,IT,2,72324,"Problem Solving, Teamwork, Adaptability",Santé
EMP7ZQ4IO,36,Female,Chargé de la facturation & recouvrement pour la direction des régions,Investor,1,35546,"Adaptability, Problem Solving, Teamwork, Communication, Time Management",Ventes
EMPSCA48F,27,Male,Superviseur Commercial,Design,6,55095,"Time Management, Communication, Problem Solving",Ingénierie
EMPR6RX9I,26,Female,Délégué Médical,Strategy,1,68067,"Problem Solving, Adaptability, Time Management, Teamwork, Communication",Marketing
EMP7285GY,24,Male,Responsable etude de marche et cahier des charges,Risk,17,92826,"Adaptability, Teamwork, Communication",RH
EMPMBSJHZ,59,Male,Responsable Commercial,Procurement,13,63879,"Adaptability, Teamwork, Communication",Logistique
EMP4FXOFY,50,Male,Cloud Solutions Support Engineer,IT,1,77375,"Docker, SQL, Java",Ventes
EMPJHW40F,40,Male,Responsable des Études - BECHAR,Product,6,59970,"Communication, Problem Solving, Teamwork",Marketing
EMPP824FL,30,Male,Attaché d'Administration Niv-01,Logistics,4,65012,"Document Control, Scheduling, Data Entry, Office Management, Customer Service",Santé
EMPCMOGV7,52,Female,COMPTABLE PRINCIPAL,Success,8,82199,"Communication, Adaptability, Teamwork, Problem Solving",Marketing
EMPAAMDOS,51,Male,Conseiller(e) Clientèle Corporate / Agence Bainem,Logistics,1,62532,"Teamwork, Problem Solving, Adaptability, Time Management, Communication",Finance
EMP9X8G5B,57,Male,OPERATEUR SUR MACHINE,&,7,58306,"Communication, Problem Solving, Teamwork, Time Management",Finance
EMPIH6FTD,58,Male,Superviseur Qualité,Risk,7,54858,"UX/UI, Java, Kubernetes, Docker",Finance
EMPQIFZN3,22,Male,Superviseur Des Ventes (Oran),Health,7,72314,"Problem Solving, Communication, Adaptability, Time Management, Teamwork",Ventes
EMP9WIIC1,56,Female,Agent de stock pharmaceutique,Technical,3,55517,"Medical Terminology, Pharmacovigilance, Clinical Trials, Patient Care, HIPAA Compliance",Marketing
EMPMJ1NGF,46,Male,Commercial agronome,Design,2,71891,"Teamwork, Adaptability, Problem Solving, Time Management, Communication",Informatique
EMPTV73ZQ,24,Female,Responsable Commercial,Investor,6,59776,"Teamwork, Problem Solving, Time Management",Santé
EMPCBIZGE,46,Male,Calorifuger,Public,1,59542,"Communication, Problem Solving, Adaptability",RH
EMPUY4L2O,32,Male,Chargé des Finances,Quality,12,75857,"Financial Analysis, Forecasting, SAP, Accounting, Budgeting, Audit",Informatique
EMPCPREJ8,53,Female,Métreur vérificateur,Management,6,28891,"Time Management, Adaptability, Teamwork",Informatique
EMP594GTL,43,Female,Ingénieur IT / Administrateur Réseau,Safety,1,59839,"Python, UX/UI, Cloud Computing, C++, Docker",Admin
EMP9CRDEM,48,Female,Data Analyst,Success,1,73185,"DevOps, Kubernetes, Network Security, Docker, Java",Finance
EMPCPW6SF,55,Male,Responsable Technique Odoo,Logistics,4,65501,"Problem Solving, Communication, Teamwork, Adaptability, Time Management",Finance
EMPA8DMK1,40,Female,Directeur Audit et Contrôle Interne,Training,7,76747,"SQL, Cloud Computing, Network Security, Kubernetes",Admin
EMPG34SX9,22,Female,Superviseur Commercial,Health,2,70817,"Adaptability, Teamwork, Problem Solving, Time Management, Communication",Ingénierie
EMPXOH5LE,35,Male,DELEGUE MEDICAL,Logistics,2,73565,"Pharmacovigilance, HIPAA Compliance, Medical Terminology, Patient Care, Clinical Trials",Logistique
EMP6F15P1,58,Male,Agent Technique / Technicien Helpdesk IT,Product,11,36440,"SQL, Kubernetes, Cloud Computing, Java",Informatique
EMPE07GQ3,41,Female,Directeur des Lignes,Assurance,7,86675,"Teamwork, Time Management, Adaptability, Problem Solving, Communication",RH
EMPPNC8EE,45,Female,Responsable Gestion de stock pharmaceutique,Health,7,53724,"Patient Care, HIPAA Compliance, Medical Terminology, Pharmacovigilance",Marketing
EMPP98T6F,40,Male,Chargée de la prospection et  Administration,Procurement,4,34865,"Data Entry, Document Control, Office Management",RH
EMP3H0F4R,25,Female,Un(e) Technico-Commercial(e),Quality,1,36117,"Adaptability, Communication, Time Management, Problem Solving, Teamwork",Finance
EMPWIPJWO,42,Male,Directeur d'agence,Assurance,5,78798,"Time Management, Problem Solving, Adaptability",Santé
EMPVEKRIT,44,Female,Manager commercial de zone,&,5,64366,"Time Management, Problem Solving, Teamwork, Adaptability, Communication",Santé
EMPG5VGKG,58,Female,Contrôleur de Gestion et de recouvrement,Investor,1,36054,"Communication, Teamwork, Time Management, Problem Solving, Adaptability",Santé
EMP2PKNZB,52,Male,Contrôleur de Gestion Industriel,Data,3,68242,"Teamwork, Time Management, Problem Solving, Adaptability",Informatique
EMPHPGUYA,47,Male,Comptable,Relations,5,64803,"Time Management, Adaptability, Communication, Teamwork",Logistique
EMP8EC3XT,26,Male,Finance Executive,Technical,1,29846,"Investment Strategies, Accounting, Forecasting, Financial Analysis",Admin
EMP34GFDD,31,Female,Conseiller Clientèle de Particuliers / Agence BAINEM,Quality,6,72975,"Teamwork, Adaptability, Problem Solving, Time Management, Communication",Logistique
EMPAI4IDM,34,Male,Responsable maintenance,Data,6,76217,"Time Management, Communication, Teamwork, Adaptability",Marketing
EMP5E6PVC,55,Female,Graphiste / Infographe,Health,4,26584,"Communication, Problem Solving, Adaptability, Time Management, Teamwork",Informatique
EMPOUJW1E,36,Male,Assistant(e) marketing,Health,4,53372,"Campaign Planning, SEO, Social Media",Ventes
EMPLKONDE,52,Female,Chargé d'Affaires Corporate - Setif (H/F),Risk,8,34676,"Communication, Teamwork, Adaptability",Admin
EMPHK34AK,30,Female,Chargé  des Ventes  produits Eléctroménager,Management,0,54521,"C++, Cloud Computing, Python, Docker, DevOps",Marketing
EMPB5HRNX,47,Female,Digital Manager Junior,Affairs,7,65571,"UX/UI, Java, Network Security, C++, Cloud Computing, Docker",Informatique
EMPWCLHRQ,37,Female,Chargé de la planification,Science,1,54136,"Problem Solving, Teamwork, Adaptability, Communication",Finance
EMP81BXW7,56,Female,Tourneur / Soudeur,Technical,1,63548,"Teamwork, Communication, Problem Solving, Adaptability, Time Management",Santé
EMP08Q7TW,29,Female,Directeur Financement & Planification Financière Groupe,Logistics,13,91347,"Accounting, Risk Management, SAP, Audit",RH
EMP9EKK3M,40,Male,Responsable Commercial,Corporate,15,68678,"Communication, Time Management, Problem Solving, Adaptability, Teamwork",Logistique
EMP0VKEAR,28,Male,IT Content & Integration Dev Administrator,Risk,2,65843,"DevOps, Cloud Computing, Kubernetes, UX/UI",Ingénierie
EMPE4MG8S,52,Female,developper Web,Assurance,0,64501,"Docker, Kubernetes, Java, C++, SQL, Python",Logistique
EMPSXBXSW,31,Male,DIRECTEUR DU MARKETING ET DU DÉVELOPPEMENT DE MARQUE,Corporate,6,90329,"Social Media, Email Marketing, Google Analytics, Brand Management, SEO",Ventes
EMPIAW4WW,31,Male,Commercial Wilaya d'El Meniaa,Administration,3,57614,"Problem Solving, Communication, Teamwork, Adaptability, Time Management",Ventes
EMPR5WWVI,23,Male,Responsable Commercial,Design,1,40675,"Problem Solving, Communication, Adaptability",Marketing
EMPDIFDK0,46,Male,Vendeur -Canal Agroalimentaire- Alger,Administration,5,57516,"Time Management, Communication, Problem Solving, Adaptability, Teamwork",Marketing
EMPM55GEG,32,Female,CONTROLEUR DE GESTION,Support,2,30177,"Problem Solving, Adaptability, Time Management, Teamwork, Communication",Informatique
EMPEAWXC0,51,Male,Technicien instrumentiste,Procurement,4,63571,"Time Management, Teamwork, Communication, Problem Solving, Adaptability",Ventes
EMPBIW512,50,Male,Chargée Communication,Relations,4,71668,"Time Management, Communication, Teamwork, Problem Solving",Marketing
EMPP26DTM,23,Male,Academic manager,Risk,3,66615,"Time Management, Teamwork, Problem Solving, Adaptability, Communication",Finance
EMP5POPIY,29,Female,Ingénieur Électrique,Development,1,70913,"Time Management, Teamwork, Adaptability, Communication, Problem Solving",Logistique
EMPVGSWJR,41,Male,Sétif: Opérateur Machine Laser et Plasma,Health,1,78070,"Time Management, Teamwork, Problem Solving, Communication, Adaptability",Admin
EMPVDWYMC,23,Female,Team Leader Finance Islamique - Mostaganem,Design,2,54001,"Accounting, Investment Strategies, Budgeting, Risk Management",Logistique
EMPLBJOXK,37,Male,Responsable des Ressources Humaines,Training,8,71737,"Teamwork, Time Management, Communication, Adaptability",Informatique
EMPHA5UGQ,39,Female,Comptable Principal,Data,5,71878,"Communication, Problem Solving, Adaptability, Time Management, Teamwork",RH
EMPOXZRWU,60,Female,ingénieur géotechnicien,Quality,2,76990,"Time Management, Communication, Adaptability, Problem Solving, Teamwork",Santé
EMP2Q9QY3,57,Male,Directeur d'Agence (H/F) Mostaganem,Public,12,86888,"Problem Solving, Teamwork, Adaptability",Logistique
EMPC7WJNZ,22,Female,Senior Electro Mechanical Engineer,Affairs,2,74298,"Java, UX/UI, Network Security",Marketing
EMPUX9SU5,35,Male,Electricien qualifié sur engins de chantier,Procurement,8,81810,"Teamwork, Communication, Problem Solving",Santé
EMP9W5N84,22,Female,CADRE FINANCIER,Affairs,7,61358,"Teamwork, Communication, Time Management, Adaptability, Problem Solving",Juridique
EMPP58IAI,39,Male,Responsable Management Qualité,Relations,1,70439,"Python, Cloud Computing, DevOps, UX/UI",Informatique
EMPOOY4VE,57,Male,chargé des dossiers d'expatriés,Corporate,2,68979,"Time Management, Problem Solving, Communication, Teamwork, Adaptability",Marketing
EMPMUNKQ4,24,Male,Ingénieur Chef de mission,Administration,3,73420,"Communication, Time Management, Adaptability",Informatique
EMPUFLZPA,29,Male,Electromécanincien,Development,3,57374,"Problem Solving, Teamwork, Communication, Adaptability, Time Management",Ingénierie
EMP0LHXIV,35,Male,Administrateur Système et Réseau,Research,6,55503,"Customer Service, Scheduling, Document Control, Office Management",Ingénierie
EMPDQZ370,41,Female,Comptable,Development,1,62272,"Adaptability, Time Management, Communication",Ingénierie
EMPUT47MG,30,Female,Conseiller (ère) commercial (e),Health,1,59564,"Time Management, Adaptability, Communication, Problem Solving, Teamwork",Informatique
EMPIEZ34C,38,Male,Commercial(e),Support,2,68432,"Time Management, Communication, Adaptability, Problem Solving, Teamwork",Logistique
EMPI71T1T,53,Female,Medical Advisor,Data,4,58637,"Contract Drafting, Legal Research, Regulatory Affairs, Compliance, Litigation Support",Informatique
EMPJHFRG2,33,Male,Directeur Supply Chain,Management,12,93047,"Process Optimization, Inventory Control, Supply Chain Management",Finance
EMPCD8TT2,53,Female,MEULEUR,&,1,52328,"Time Management, Teamwork, Problem Solving, Adaptability, Communication",Logistique
EMP16S46U,45,Male,Directeur approvisionnement et planification,Relations,16,68927,"Network Security, SQL, C++",Juridique
EMPY0OX9B,49,Female,Manager / Responsable  Département Instrumentation,Development,14,95471,"Adaptability, Problem Solving, Teamwork, Communication, Time Management",Ventes
EMPVAF1TN,57,Male,Délégué commercial,Administration,3,63671,"Problem Solving, Teamwork, Communication, Time Management, Adaptability",Marketing
EMPUEG29L,25,Female,Agent de Sécurité,IT,5,46751,"Java, Kubernetes, Python, SQL, UX/UI",Informatique
EMPO3Q8D3,38,Male,Back Office Commercial,Management,4,80962,"Document Control, Customer Service, Scheduling, Office Management, Data Entry",RH
EMPTXR84Z,26,Male,CHARGE PROCUREMENT,Data,7,56415,"Supply Chain Management, Quality Control, Logistics, Process Optimization, Inventory Control",Informatique
EMP7UX5CS,49,Male,Développeurs programmes,&,5,77378,"Adaptability, Time Management, Communication, Problem Solving, Teamwork",Juridique
EMPM809Z0,35,Male,Responsable/Directeur des Ressources Humaines,Public,7,61046,"Communication, Time Management, Teamwork",Santé
EMPS3C7A7,36,Female,Ingénieur Maintenance et Électromécanique/ Méthode,IT,7,67495,"Communication, Time Management, Problem Solving, Teamwork",Santé
EMPSFHASL,54,Female,Chargé(e) Recouvrement & Finance,Success,3,57342,"Audit, SAP, Investment Strategies, Forecasting",Logistique
EMPF216Q8,38,Male,COMMERCIAL REGIONNAL (ouest),Research,8,61561,"Time Management, Teamwork, Communication, Adaptability, Problem Solving",Admin
EMPEJBXI9,26,Female,Architecte senior DEX,Corporate,12,86827,"Java, Python, DevOps, SQL, C++",RH
EMPFOET3Q,50,Female,Vidéo Éditeur / Filmmaker,Product,1,63004,"Python, Kubernetes, SQL, DevOps, Network Security",Informatique
EMP48OAQT,36,Male,Responsable Marketing,Administration,6,58624,"Brand Management, Content Strategy, Social Media",Admin
EMPA14AT0,41,Male,Superviseur de Production,Procurement,2,76701,"Time Management, Teamwork, Adaptability, Communication",Ventes
EMPDSSKVR,35,Male,Responsable de la Base de Vie,Administration,6,41321,"Time Management, Problem Solving, Teamwork, Adaptability",Ventes
EMPII8030,23,Male,Délégué Technico-Commercial,IT,4,65151,"Adaptability, Communication, Problem Solving, Teamwork, Time Management",Finance
EMPR9SD0B,45,Male,Data Engineer,Support,2,60286,"Cloud Computing, Python, Kubernetes, Docker, Java",Ventes
EMP3K7RAR,59,Male,Agent Commercial Polyvalent -( H-F ) Agence Batna,Success,0,32376,"Adaptability, Teamwork, Problem Solving, Communication, Time Management",Logistique
EMPQ2RB7L,47,Female,Chargé des Opérations,Assurance,1,28539,"Adaptability, Problem Solving, Teamwork, Communication, Time Management",Finance
EMPJRXTJ1,35,Male,Sales Manager,&,7,70295,"Time Management, Adaptability, Problem Solving, Teamwork",Ingénierie
EMPLZ57IA,39,Female,Agent Vacataire (H-F) Agence Ain Temouchent,Compliance,2,34631,"Time Management, Teamwork, Communication",Logistique
EMPK3XJ9A,54,Female,Aide Cuisinier,Design,3,57639,"Sketch, Color Theory, Figma, Prototyping, UX Research",Santé
EMPAUR73P,53,Female,Opérateur de centre d'appel,Data,1,49819,"Cloud Computing, C++, Java, DevOps",Santé
EMPHGDDUE,48,Male,Data Analyst,Technical,2,75245,"Kubernetes, Docker, Network Security, Java, C++",Logistique
EMP1JM61J,23,Female,Chargé de recrutement,Assurance,1,62155,"Time Management, Teamwork, Adaptability, Problem Solving",RH
EMPHBGN3N,56,Male,Sales Representative - Touggourt,Product,5,77401,"Teamwork, Time Management, Problem Solving, Adaptability, Communication",Ingénierie
EMPAOVB15,54,Male,Charge de recouvrement,Development,5,53587,"Communication, Time Management, Problem Solving",Ventes
EMP95J2YU,40,Male,Développeur WEB,Design,2,62729,"Time Management, Problem Solving, Adaptability, Teamwork",Santé
EMP0201Z1,37,Female,Responsable fonction Audit et contrôle interne,Technical,1,57585,"SQL, C++, Python, Cloud Computing, UX/UI, Java",Admin
EMPFWQBGW,45,Male,Sales Representative,IT,2,62992,"Problem Solving, Time Management, Adaptability, Teamwork",Informatique
EMPTMP9GY,32,Male,Pricing Solutions,Management,5,65504,"Communication, Teamwork, Time Management, Problem Solving, Adaptability",Admin
EMPBHKD1D,59,Male,Chef Magasin Pièces de rechange Auto,Safety,15,53355,"Problem Solving, Teamwork, Adaptability, Communication, Time Management",Juridique
EMPRJMN8A,33,Male,Manutentionnaire,Design,2,72170,"Time Management, Teamwork, Problem Solving",Logistique
EMPTKC75Q,26,Female,un(e) Technicien(ne),Customer,3,58006,"Communication, Problem Solving, Adaptability, Teamwork, Time Management",Juridique
EMPS1OBWN,22,Male,Responsable GPAO,Public,1,76253,"Communication, Problem Solving, Time Management, Teamwork",Marketing
EMPLYIT3Q,33,Female,Tourneur Fraiseur,Technical,5,70298,"Problem Solving, Teamwork, Communication, Time Management, Adaptability",Admin
EMPM3VC3H,26,Female,Gestionnaire Administratif,Development,0,52796,"Office Management, Document Control, Data Entry, Customer Service, Scheduling",Informatique
EMPHYH394,38,Female,Agent Billetterie,Assurance,2,77005,"Time Management, Problem Solving, Teamwork, Adaptability, Communication",Admin
EMPPQ6XY5,24,Female,Monteur Vidéo,Procurement,0,66410,"Communication, Time Management, Teamwork, Problem Solving, Adaptability",Finance
EMPU73QUQ,32,Male,Responsable Assurance qualité,Management,4,69638,"UX/UI, Cloud Computing, Docker, Kubernetes, SQL",Logistique
EMPCVGOU1,56,Female,chef de projet realisation -  chantier de promotion immobilier de  haut standing,Assurance,16,67083,"Problem Solving, Adaptability, Communication, Teamwork, Time Management",Ingénierie
EMP55OAX3,37,Male,Monteur vidéos,Public,7,63736,"Communication, Adaptability, Teamwork",RH
EMP92YMF7,24,Female,Chargé des achats,Technical,6,58290,"Time Management, Communication, Adaptability",Admin
EMPLOHBBG,30,Male,Commercial,Customer,0,56732,"Adaptability, Communication, Time Management",RH
EMP2Z1H1A,59,Female,Superviseur HSE,Science,7,61162,"Adaptability, Communication, Teamwork",Finance
EMPS4N6JH,36,Male,Technico-commerciale ( Ingénieur en électronique ),Science,0,63625,"Teamwork, Communication, Problem Solving, Adaptability, Time Management",Finance
EMPY7WI2T,49,Male,Ingénieur Courant Faible,Research,12,66500,"Communication, Problem Solving, Teamwork, Adaptability, Time Management",Finance
EMPPUWAX3,26,Male,Commercial Wilaya d'El Meniaa,Quality,1,62905,"Time Management, Teamwork, Communication, Adaptability, Problem Solving",Ventes
EMPEDOR68,24,Male,Leader Developer,Administration,6,52671,"Kubernetes, DevOps, C++, UX/UI",Juridique
EMPO5VGQE,24,Female,Chargé Clientèle,Quality,0,63300,"Communication, Time Management, Teamwork, Problem Solving",Santé
EMPHCWRPS,49,Female,Videaste/graphiste freelance ou CDI,Data,4,67666,"Time Management, Teamwork, Adaptability",Ventes
EMPNRYEK3,34,Female,Responsable des Ressources Humaines,Management,7,60010,"Adaptability, Communication, Teamwork, Problem Solving, Time Management",Santé
EMPLDDYB1,49,Female,Comptable,Administration,4,61683,"Teamwork, Communication, Problem Solving",Logistique
EMP7E88KT,56,Female,Superviseur des Ventes,Development,7,78158,"Adaptability, Teamwork, Problem Solving, Communication",Finance
EMPWRAEXR,24,Male,Ingénieur mécanique,Safety,6,55738,"Adaptability, Time Management, Problem Solving, Communication",Logistique
EMPI4XUQC,24,Male,Commercial (es/aux),Risk,1,33344,"Figma, Typography, UX Research, Illustrator",Ingénierie
EMPZC9F1Z,58,Female,Commercial Terrain,Relations,2,60925,"Time Management, Adaptability, Problem Solving",Ingénierie
EMPTVLRFF,36,Female,charger de l’administration général et RH,Investor,5,39143,"Office Management, Scheduling, Customer Service",Logistique
EMPWWFKIB,57,Female,Responsable Sureté Interne Etablissement,Training,14,66738,"Teamwork, Communication, Adaptability, Time Management, Problem Solving",Juridique
EMP0YTXK5,30,Female,Téléconseillers(ères),Logistics,3,55778,"Teamwork, Problem Solving, Time Management, Communication, Adaptability",RH
EMPRQHJNY,27,Male,Area Sales Manager (Electrification & Energy automation),Affairs,5,59163,"Time Management, Communication, Teamwork",Ingénierie
EMP2OV4JA,60,Male,Graphic Designer,Affairs,4,66990,"Sketch, Figma, Illustrator",Santé
EMPZ3I8AQ,23,Female,chef d'equipe realisation CES chantier promotion haut standing,Training,10,82573,"Figma, Illustrator, Adobe Photoshop",Santé
