job title,hiring organization,date posted,valid through,sector,job location,experience required,education requirement,type of contract,available posts,url,education_years,description,experience_min,experience_max,predicted_salary_dzd,inferred_skills
Spécialiste Indemnisation Junior,GIG ALGERIA,2025-01-30T08:51:27.832Z,2025-03-31T23:59:59.000Z,"Banque, Assurance, Finance","Hussein Dey, Daïra Hussein Dey, Alger, Algérie | Alger, Algérie",1 À 2 Ans | 3 À 5 Ans,"Licence (LMD), Bac + 3 | Master 1, Licence  Bac + 4 | Master 2, Ingéniorat, Bac + 5",CDI,1 poste ouvert,https://emploitic.com/entreprises/2a/offres-d-emploi/banque-assurance-finance/specialiste-indemnisation-junior-131a0ede9d4f7e542665c072,17.0,"Missions du poste : <ul><li>Traiter les dossiers sinistres corporels dépassant le pouvoir de la direction régionale ;</li><li>Vérifier le respect des procédures dans la gestion des dossiers ;</li><li>Favoriser le règlement à l'amiable des dossiers sinistres.</li><li>Veiller à la coordination des activités de la direction avec les autres structures de la compagnie afin d'obtenir les informations complémentaires et nécessaires aux dossiers sinistres (Importance du client, prime impayée… etc.) ;</li><li>Analyser et évaluer la prestation de service des fournisseurs (Avocats et experts) ;</li><li>Orienter les gestionnaires sinistres et les avocats vers la bonne application de la réglementation en vigueur ;</li><li>Contrôler la bonne exécution des contrats d'assurance ;</li><li>Notifier à la Direction Réassurance les sinistres susceptibles d'être pris en charge par les traités de réassurance ;</li><li>Transmettre les avis de sinistres graves à la réassurance ;</li><li>Suivre et contrôler les dossiers sinistres relevant de la DG ;</li><li>Contribuer à l'actualisation et à la révision du guide de gestion ;</li><li>Porter aide et assistance technique aux structures et directions ;</li><li>Veiller à l'application des différentes directives, instructions et notes émanant de la hiérarchie ;</li><li>Porter aide et assistance technique au réseau (délégations et agences) ;</li><li>Porter aide et assistance à la Direction Qualité dans le suivi et le traitement des réclamations clients et victimes ;</li><li>Contribuer à l'établissement du manuel d'utilisation du volet Sinistres du logiciel PanExp V2 ;</li><li>Contribuer au contrôle permanant des logiciels sinistres afin de détecter des anomalies et les améliorer en collaboration avec la DSI </li></ul> Exigences du poste :<ul><li>Bac + 04</li><li>Formation complémentaire en assurance ;</li><li>05 ans minimum dans un poste similaire ;</li><li>Connaître la règlementation juridique des assurances ;</li><li>Connaître la réglementation en matière d'indemnisation ;</li><li>Connaître la règlementation technique des assurances ;</li><li>Connaître les techniques rédactionnelles du secteur juridique ;</li><li>Appliquer la règlementation ;</li><li>Traiter les dossiers dans les délais et selon la réglementation ;</li><li>Maîtriser les méthodes et les outils d'analyse et de diagnostic ;</li><li>Rigueur et sens de l'engagement ;</li><li>Sens de la méthode et de l'organisation ;</li><li>Sens de la communication et aisances relationnelles ;</li><li>Discrétion et respect du secret professionnel ;</li><li>Qualité de négociation et force d'argumentation ;</li><li>Réactivité et respect des délais ;</li><li>Flexibilité et capacité d'adaptation ;</li><li>Esprit d'analyse et de synthèse </li> </ul>",1,5,65500,communication
Chargé d'Animation PAY,Société Générale Algérie,2025-01-30T08:50:25.508Z,2025-03-31T23:59:59.000Z,"Banque, Assurance, Finance","Alger, Algérie",6 À 10 Ans,"Master 2, Ingéniorat, Bac + 5",CDI,1 poste ouvert,https://emploitic.com/entreprises/societe-generale-algerie/offres-d-emploi/banque-assurance-finance/charge-d-animation-pay-1b2bbcd83792b348aac78e28,17.0,"Responsabilités Principales: Animation et accompagnement des opérationnels : - Assurer l'accompagnement des équipes opérationnelles du réseau, principalement les CDO et RDO sur la connaissance des produits PAY, à travers les formations et instances d'informations. - Animer et challenger la performance commerciale par marché (Retail, PME-GE) et point de vente (Agences et Centres d'Affaires), à travers les présentations des KPI des activités Cash Management, Trade et Monétique. - Assurer la diffusion de l'actualité règlementaire au réseau - Promouvoir les règles et procédures liées au traitement opérationnel et la sensibilisation du réseau aux risques opérationnels. Analyse des KPI et Pilotage de la performance : - Mettre à jour et analyser le tableau de suivi de la volumétrie des opérations Trade par agence ainsi que la cartographie des CDO et RDO, à fréquence mensuelle. - Analyser les différents KPI à diffuser au réseau, notamment les taux de compléments d'informations et de dématérialisation des virements, et mettre en place des plans d'actions correctifs si nécessaire. - Assurer le suivi des plans d'actions élaborés auprès des structures concernées. Amélioration continue : - Identifier les axes d'amélioration opérationnelle relevant de son périmètre d'activité. - Veiller à la mise en place des actions d'amélioration opérationnelle, notamment à travers un plan de formation ciblé. Valorisation de la performance et des produits PAY : - Assurer la promotion des produits PAY auprès des équipes front. - Contribuer à la construction et mise à jour des kits et outils d'accompagnement des forces commerciales et opérationnelles sur les produits PAY et participer à la diffusion des bonnes pratiques. - Elaborer les dossiers Awards et de certifications. Compétences liées au poste: - Diplôme d'études supérieures (Banque, finance, sciences commerciales). - Expérience d'au moins 03 ans sur un poste traitant de l'activité Trade. - Bonne connaissance de la stratégie commerciale. - Bonne connaissance de la règlementation bancaire, notamment celle régissant l'activité Trade. - Maîtrise des règles et procédures en vigueur sur les risques opérationnels et de conformité. - Connaissance de l'offre bancaire PAY destinée à la clientèle de la banque. - Maîtrise du pack Microsoft Office, de l'environnement informatique et des logiciels nécessaires à l'activité. <span style=""font-size: 1rem;"">- Maîtrise des langues : Arabe, Français (Anglais souhaité).</span> - Sens de la communication et capacité à collaborer en transverse. - Aptitude à l'animation. - Orientation solutions, force de proposition et de persuasion. <br /> <br />",6,10,73000,"communication, management"
Business Analyst RPA (Robotic Process Automation),Société Générale Algérie,2025-01-30T08:49:52.004Z,2025-03-31T23:59:59.000Z,"Banque, Assurance, Finance","Alger, Algérie",6 À 10 Ans,"Master 2, Ingéniorat, Bac + 5",CDI,1 poste ouvert,https://emploitic.com/entreprises/societe-generale-algerie/offres-d-emploi/banque-assurance-finance/business-analyst-rpa-robotic-process-automation-14bcfeecb737bc2a127e2a24,17.0,"Raison d'être du poste: Rattaché à la Direction Système d'information, Projet et Organisation et au département Tests et Qualifications, le Business Analyst RPA (Robotic Process Automation) a pour principale mission d'analyser les process métier et procéder à l'automatisation des cas de tests ainsi que le pilotage des projets de tests informatiques qui lui sont confiés. Responsabilités Principales: Analyse et développement : - Analyser et identifier les cas de tests par domaine. - Analyser et conceptualiser les processus existants. - Automatiser via la technologie existante les cas de tests identifiés et les processus de la banque. - Maintenir et mettre à jour les cas de tests robotisés et les processus. Gestion des Environnements : - Initier et suivre les demandes de rafraichissement des environnements. - Affecter les environnements et suivre les demandes en cours. - Attribuer les accès aux environnements. - Actualiser les licences des modules et des environnements. - S'assurer que toutes les demandes d'environnement sont initiées via le Workflow GDE. - Suspendre les accès aux utilisateurs n'ayant pas de demande en cours ou expirée. - Déployer les programmes patchs et SP sur les environnements de tests livrés par l'éditeur. Planification et organisation des campagnes de tests : - Définir les objectifs et identifier les risques. - Identifier le périmètre des tests (les nouvelles fonctionnalités, correction des bugs). - Prioriser les tests selon les risques et l'impact sur le business. - Désigner les ressources nécessaires. - Définir les environnements de tests. - Créer un planning et définir les jalons. - Construire et enrichir le patrimoine de test. - Suivre l'avancement des tests et analyser les résultats - Planifier et organiser les mises en production des différentes montées de version Suivi des points avec l'éditeur : - Préparer les points de suivi avec l'éditeur en priorisant les tickets à discuter pendant la séance. - Animer les points de suivi en exposant l'état d'avancement. - Suivre les actions à réaliser. - Introduire et suivre les demandes d'évolutions immanentes des équipes internes. Participation aux projets de la Direction : - Assurer l'accompagnement technique des projets métiers sur leur mise en œuvre - Fournir le support de niveau N1/N2 et assurer l'escalade vers les éditeurs sur les applications Métiers et logiciels techniques à charge. Amélioration continue - Mettre en place des actions correctives permettant de résoudre les dysfonctionnements et incidents récurrents et contribue à l'amélioration continue des processus de la banque. - Veiller à l'optimisation des processus du département Tests et Qualifications par des outils innovants - Élargir le périmètre des automatisations sur les différents outils de la banque. - Proposer de nouvelles technologies afin de faciliter l'automatisation des tests. Compétences liées au poste - Gestion des priorités et de temps. - Rigueur et professionnalisme. - Adaptabilité, Engagement et Confidentialité. - Orientation client et de service. - Sens de l'analyse, de synthèse, capacité à diagnostiquer. - Sens de la communication et du relationnel. - Sens de l'organisation et de la planification. - Esprit d'équipe et capacité de travailler en transverse. - Aptitude à organiser et à prioriser ses travaux sur la base des enjeux y afférents. - Capacité à travailler en transverse et à communiquer avec les différentes structures - Bonne connaissance de la règlementation et des techniques et opérations bancaires. Autres Aptitudes: Langue : Français, Arabe, Anglais Informatique /Bureautique : - IA (Intelligence artificielle), SQL,Pack Microsoft Office - Bonne connaissance des modules amplitude Bank, Microsoft Office (Excel, Access, PowerPoint) et langage SQL. Niveau d'études : Etudes supérieurs en informatique ou en Sciences commerciales ou statistique. Expérience souhaitée : Bac+5 <br /> <br /> <br />",6,10,73000,"communication, excel, powerpoint, sql"
Conseiller expert en verre optic,Entreprise anonyme,2025-01-30T08:49:26.696Z,2025-03-31T23:59:59.000Z,Industries,"Alger, Algérie",6 À 10 Ans,"Licence (LMD), Bac + 3 | Master 2, Ingéniorat, Bac + 5",CDD Ou Mission,1 poste ouvert,https://emploitic.com/offres-d-emploi/industries/conseiller-expert-en-verre-optic-887d9bc6564f6cff72d506c1,17.0,"<br /> Dans le cadre de notre développement, nous recherchons un(e) conseiller(ère) en fibre optique afin de rejoindre notre équipe dynamique. Vous serez en charge de :<ul><li><strong>Conseiller les clients :</strong> Assurer un rôle de conseil auprès des clients pour les aider à comprendre les avantages et les spécificités de la fibre optique.</li><li><strong>Analyser les besoins :</strong> Évaluer les besoins de chaque client en termes de connectivité et recommander des solutions adaptées.</li><li><strong>Suivi commercial :</strong> Effectuer le suivi des prospects et des clients tout au long du processus de souscription, installation et après-vente.</li><li><strong>Assistance technique de premier niveau :</strong> Répondre aux questions techniques des clients et résoudre les problèmes liés à l'installation de la fibre.</li><li><strong>Promouvoir les services :</strong> Faire la promotion des offres et services de l'entreprise tout en veillant à la satisfaction client.</li></ul> <br />Profil recherché :<ul><li><strong>Expérience requise :</strong> Vous avez une première expérience dans le secteur des télécommunications ou dans un poste de conseil commercial.</li><li><strong>Compétences techniques :</strong> Des connaissances de base en fibre optique et en télécommunications sont un plus.</li><li><strong>Qualités recherchées :</strong> Bonne communication, rigueur, sens du service client et capacité à travailler en équipe.</li></ul> <br />",6,10,73000,communication
IBDA Graduate Program (Commerciale),Equatorial Coca-Cola Bottling Company (ECCBC Algérie),2025-01-30T08:48:58.878Z,2025-03-31T23:59:59.000Z,Industries,"Oran, Algérie | Sétif, Algérie",Moins D’un An,"Master 2, Ingéniorat, Bac + 5",CDD Ou Mission,1 poste ouvert,https://emploitic.com/entreprises/fruital-coca-cola/offres-d-emploi/industries/ibda-graduate-program-commerciale-6c402b90b7833be6c3837a96,17.0,"Vous êtes un jeune diplômé(e) en Management, Sciences Commerciales, Sciences Financières ou équivalent, à la recherche d'une première expérience enrichissante dans le domaine commercial ? ECCBC Algérie vous invite à participer à notre <strong>IBDA Graduate Program.</strong> Si vous êtes intéressé(e) et que vous souhaitez nous rejoindre et faire carrière dans un environnement FMCG international et culturellement diversifié, nous vous invitons à partager avec nous votre CV actualisé. <strong>Lieu de travail</strong> : une position basée à Sétif et une autre basée à Oran. <br />",0,1,64000,management
AIDE-COMPTABLE,CAC KHALDI ILHEM,2025-01-30T08:34:40.062Z,2025-03-31T08:34:40.028Z,"Banque, Assurance, Finance","Oran, Algérie",3 À 5 Ans,"Formation Professionnelle | Licence (LMD), Bac + 3",CDD Ou Mission,1 poste ouvert,https://emploitic.com/entreprises/cac-khaldi-ilhem/offres-d-emploi/banque-assurance-finance/aide-comptable-7aaedaf421d344dc38a20816,15.0,"<h2>Offre d'emploi: AIDE-COMPTABLE</h2> Métier: Comptabilité, Lieu de travail: Oran, Algérie Années d'expérience: 3 À 5 Ans Niveau du poste: Débutant / Junior Niveau d'étude: Formation Professionnelle, Licence (LMD), Bac + 3 Type du contrat : CDD Nombre de postes: 1<h3>Description:</h3> Nous recherchons un(e) aide-comptable débutant(e). La candidat idéal devra posséder une formation professionnelle ou une licence en comptabilité, avec 3 à 5 ans d'expérience.<h3>Responsabilités:</h3><ul><li> Participer à la saisie des opérations comptables</li><li> Assister dans la préparation des déclarations fiscales</li><li> Aider à la gestion des factures et des paiements</li><li> Contribuer à l'établissement des états financiers</li></ul><h3>Exigences:</h3><ul><li> Formation professionnelle ou licence en comptabilité</li><li> Maîtrise des logiciels de comptabilité</li><li> Connaissance des principes comptables et fiscaux</li><li> Capacité à travailler en équipe et à respecter les délais</li></ul><h3></h3>",3,5,64500,
Visiteur Médical Hospitalier,SARL PROCOMED,2025-01-30T08:33:25.000Z,2025-03-29T23:59:59.000Z,Industries,"Dély Brahim, Daïra Cheraga, Alger, Algérie",3 À 5 Ans,"Licence (LMD), Bac + 3 | Master 2, Ingéniorat, Bac + 5",,1 poste ouvert,https://emploitic.com/entreprises/sarl-procomed/offres-d-emploi/industries/visiteur-medical-hospitalier-e7bad5465e6e29ef68c7a2ab,17.0,"<br /> <ul></ul> Société privée spécialisée dans le domaine de la prestation de service pour l'industrie pharmaceutique recrute un MSL (Medical Science Liaison) / VMH (Visiteur Médical Hospitalier) <br /> Profils recherchés : <ul><li dir=""ltr""><span style=""font-size: 1rem;"">Diplôme en sciences Biomédicale Expérience d'au moins un an en tant que visiteur médical hospitalier. </span></li><li dir=""ltr"">Compétences dans l'exploitation des études cliniques.</li></ul><ul><li dir=""ltr""><span style=""font-size: 1rem;"">Disponibilité pour des déplacements fréquents. </span></li></ul><ul><li dir=""ltr""><span style=""font-size: 1rem;"">Possession d'un véhicule personnel.</span></li><li dir=""ltr""><p dir=""ltr"" role=""presentation""> Disponible à partir de février.</li></ul> <br /><ul> </ul>",3,5,68500,
Administrateur Système,Gulf Bank Algérie (AGB),2025-01-30T08:29:33.908Z,2025-03-31T23:59:59.000Z,"Banque, Assurance, Finance","El Biar, Daïra Bouzareah, Alger, Algérie",3 À 5 Ans | 6 À 10 Ans,"Master 1, Licence  Bac + 4 | Master 2, Ingéniorat, Bac + 5",CDI,1 poste ouvert,https://emploitic.com/entreprises/algeria-gulf-bank-agb/offres-d-emploi/banque-assurance-finance/administrateur-systeme-de9638661d20d2315f0854a9,17.0,"Gulf Bank Algérie recrute : <br /> (1) Un Administrateur Système. Rattaché(e) au Chef de Département Administration Système et Réseau , il/elle est chargé(e) d'administrer les systèmes et l'infrastructure IT de la banque afin de garantir la disponibilité et la continuité des services informatiques, dans le respect des procédures et normes en vigueur. Missions : - Administrer, Maintenir la disponibilité des systèmes de la banque ; - Mettre à jour et sécuriser les systèmes de la banque ; - Intégrer les nouvelles plateformes nécessaires au développement de la stratégie de la banque ; - Assurer la disponibilité et la sécurité des services ; - Assurer la protection des systèmes de la banque ; - Gérer les utilisateurs et les accès ; - Assurer les restaurations du système ; - Maintenir, simuler et optimiser le plan de restauration et de récupération en cas de désastre ; - Participer et Contribuer à la rédaction et à l'amélioration continue des processus et procédures IT ; - Etablir tous les reportings IT requis par la hiérarchie. Profil : - Diplôme d'études supérieures en Informatique ; - Expérience d'au moins trois (03) années dans un poste similaire ou équivalent ; - Maîtrise de l'Administration systèmes et Réseau/ Sécurité informatique ; - Connaissance ITIL/ Gestion de Projet/ Architecture Systèmes ; - Ayant un l'esprit d'équipe. Avantages : - Rémunération composée (Salaire Fixe + variable). - Plan de carrière et de développement personnel adapté à la compétence et aux perceptives d'évolution. - Divers avantages sociaux. <p align=""center"">Vous êtes peut-être là où le candidat que nous recherchons.<p align=""center"">N'attendez Plus ! <br />",3,10,68500,
Relation Client et prospection ,SARL KB PRIME POUR DEVELOPPEMENT,2025-01-30T08:25:26.195Z,2025-03-31T08:25:26.144Z,"Informatique, Télécom, Internet","Oran, Algérie",6 À 10 Ans,Baccalauréat,CDD Ou Mission,1 poste ouvert,https://emploitic.com/entreprises/sarl-kb-prime-pour-developpement/offres-d-emploi/informatique-telecom-internet/relation-client-et-prospection-c3d9f7e82d64aadcf4e85cdf,12.0,"<h2>Offre d'emploi: Relation Client et prospection</h2> Metier: Informatique, Systèmes d'Information, Internet, Télécommunication, Réseaux Lieu de travail: Oran, Algérie Annees d'experience: 6 À 10 Ans Niveau du poste: Responsable d'Équipe Niveau d'etude: Baccalauréat Type du contract: CDD Ou Mission Nombre de postes: 1<h3>Description:</h3> Nous recherchons un(e) Responsable d'Équipe en Relation Client et prospection avec une expérience de 6 à 10 ans dans les domaines des l'Informatique. Le candidat idéal devra être capable de gérer une équipe et de développer des stratégies de prospection efficaces.<h3>Responsabilités:</h3><ul><li> Gérer une équipe</li><li> Développer des stratégies de prospection pour atteindre les objectifs fixés</li><li> Assurer un suivi régulier des performances de l'équipe et mettre en place des actions correctives si nécessaire</li><li> Collaborer avec les autres départements pour assurer la satisfaction des clients</li></ul><h3>Exigences:</h3><ul><li> Expérience de 6 à 10 ans.</li><li> Capacité avérée à gérer une équipe</li><li> Excellentes compétences en communication et en négociation</li><li> Orienté résultats et capable de travailler sous pression</li></ul><h3>Avantages:</h3> Nous offrons un environnement de travail dynamique et stimulant, des opportunités de développement professionnel, ainsi qu'une rémunération attractive.",6,10,63000,communication
Marketing Activation Manager,Danone Djurdjura Algérie,2025-01-30T08:20:50.478Z,2025-03-31T23:59:59.000Z,Industries,"Alger, Algérie",3 À 5 Ans,"Licence (LMD), Bac + 3 | Master 2, Ingéniorat, Bac + 5",CDI,1 poste ouvert,https://emploitic.com/entreprises/danone-djurdjura-algerie/offres-d-emploi/industries/marketing-activation-manager-22840766bd26bb0452232689,17.0,"<h4 class=""""><i> Danone Djurdjura Algérie recrute pour sa catégorie Specialized Nutrition :</i></h4><p align=""center""><br /><p align=""center"">Marketing Activation Manager Description du poste : Le Responsable de l'Activation Marketing est chargé d'exécuter les activités marketing et de garantir une documentation appropriée. Il/Elle travaille en étroite collaboration avec les agences pour obtenir les offres les plus efficaces pour l'exécution des activités marketing (par exemple, participation à des conférences, réunions autonomes, réunions de groupe, matériel promotionnel pour l'équipe, etc.). Il/Elle collabore étroitement avec le Responsable de l'Activation Marketing pour assurer le bon fonctionnement de l'activité Nutrition Spécialisée de Danone au Maghreb grâce à une dépense efficace. Responsabilités clés :<ul type=""disc""> <li>Collecter et analyser des données pour comprendre les tendances du marché, les activités des concurrents et le comportement de la cible d'une marque, et recommander des actions pour atteindre les objectifs annuels de ventes et de profits.</li> <li>Exécuter les plans marketing annuels et les plans d'activation de marque intégrés.</li> <li>Participer et exécuter des activités liées aux lancements de nouveaux produits.</li> <li>Servir de liaison entre le marketing régional et les équipes locales pour assurer l'intégration des plans d'affaires.</li> <li>Administrer et surveiller les activités marketing pour garantir l'atteinte des objectifs.</li> <li>Analyser le succès des campagnes marketing et créer des rapports.</li> <li>Soutenir le Maghreb selon les besoins, y compris : présentations PowerPoint, informations sur le marché/concurrence, insights sur le marché et présentations clients.</li> <li>Travailler en étroite collaboration avec les homologues marketing et publicité, les agences de marketing digital et les sociétés de production pour obtenir les meilleures offres de prix pour les activités marketing.</li> <li>Suivre l'exécution des activités marketing avec l'équipe de vente.</li> <li>Suivre les équipes dans les plans d'activités (gestion d'événements).</li></ul> Compétences requises :<ul type=""disc""> <li>Mettre en œuvre des méthodes de travail pour atteindre l'excellence dans l'exécution.</li> <li>Appliquer les politiques et procédures de Danone.</li> <li>Soumission précise et en temps voulu des rapports demandés.</li> <li>Créativité et pensée ""hors des sentiers battus"", initiatives.</li> <li>Maîtrise du français et de l'anglais indispensable.</li> <li>Connaissances approfondies en marketing et solides connaissances en médical sont un plus important.</li></ul> Portée géographique du poste :&nbsp;Maghreb (Algérie, Maroc et Tunisie) Formation et expérience professionnelle :<ul type=""disc""> <li>Diplôme de licence en pharmacie, nutrition, sciences ou équivalent. / et/ou / Diplôme de licence en marketing.</li> <li>Au moins 2 ans d'expérience dans des rôles similaires (gestion de marque, gestion de projet).</li> <li>Bonne compréhension du marché des FMCG et de l'industrie pharmaceutique.</li></ul> Compétences fonctionnelles :<ul type=""disc""> <li>Leadership stratégique.</li> <li>Capacité analytique - capacité à convertir l'analyse en insights, stratégies durables et plans d'action.</li> <li>Pensée critique et résolution de problèmes supérieures - ingénieux pour atteindre les objectifs/résultats malgré les obstacles.</li> <li>Dynamisé par un environnement entrepreneurial - ne pas avoir peur de faire les choses soi-même pour obtenir des résultats.</li></ul> Compétences interpersonnelles :<ul type=""disc""> <li>Bonne communication, compétences interpersonnelles, gestion des personnes et gestion du temps.</li> <li>Capacité à gérer des volumes de travail élevés.</li> <li>Forte attention aux détails.</li> <li>Capacités de leadership couplées à de solides compétences en résolution de conflits.</li> <li>Aptitudes à la résolution de problèmes.</li></ul>",3,5,68500,"communication, leadership, marketing, powerpoint"
Comptable Senior,Entreprise anonyme,2025-01-30T08:12:12.396Z,2025-03-12T23:59:59.000Z,"Distribution, Commerce","Oued Smar, Daïra El Harrach, Alger, Algérie",3 À 5 Ans | 6 À 10 Ans,"Licence (LMD), Bac + 3 | Master 1, Licence  Bac + 4 | Master 2, Ingéniorat, Bac + 5",CDD Ou Mission,2 postes ouverts,https://emploitic.com/offres-d-emploi/distribution-commerce/comptable-31631d19a52616f0c4a03dd0,17.0,"<b style=""font-size: 1rem;"">Missions et activités du poste<span style=""font-size: 1rem;""> :</span><br /> - Saisie des écritures Comptables. - Participer à l'établissement des déclarations fiscales. - Vérification des pièces comptables et de la caisse. - Analyse des comptes. - Archiver les documents Comptables. - Assister sa Hiérarchie dans l'élaboration des bilans. <br />",3,10,68500,
Chargé de Clientèle Retail,Fransabank,2025-01-30T08:07:19.378Z,2025-03-08T23:59:59.000Z,"Banque, Assurance, Finance","Alger, Algérie",Moins D’un An | 1 À 2 Ans,"Licence (LMD), Bac + 3",CDI,2 postes ouverts,https://emploitic.com/entreprises/fransabank/offres-d-emploi/banque-assurance-finance/charge-de-clientele-retail-62f1b296fef659b7f9af225d,15.0,"<h3 style=""text-align: center;"">Chargé de Clientèle Retail</h3><h3 style=""text-align: left;"">Missions :</h3> <ul> <li>Assure à son niveau, par sa prospection, le développement et la gestion du segment Professionnel et Entreprises dans le respect des objectifs qui lui sont fixés ;</li> <li>Est l'interlocuteur principal de ses clients (visite sur site, envoi de courriers, relance téléphonique, etc.) ;</li> <li>Constitue un fichier de prospects dans son périmètre d'intervention ;</li> <li>Procède à la collecte de la documentation requise à l'appui de la demande de crédit et pour constituer le dossier administratif ;</li> <li>Transmet au Département Analyse les dossiers revêtus des avis requis ;</li> <li>Anticipe le renouvellement des lignes de crédits dans des délais impartis ;</li> <li>Prend ou recommande à sa hiérarchie les mesures conservatoires dès l'apparition d'évènements susceptibles de compromettre les engagements de la Banque ;</li> <li>Assure le recouvrement des créances en phase agence ;</li> <li>assure la gestion, l'actualisation et la bonne tenue des documents constitutifs des dossiers clients ;</li> <li>Instruit et prend en charge toute réclamation émanant de sa clientèle.<br /><br /></li> </ul> <h3>Profil recherché :</h3> <ul> <li>Diplôme universitaire en Finance/Commerce ou équivalent (Bac+4) ;</li> <li>Expérience bancaire de 2 ans dans un poste similaire ;</li> <li>Bonne maitrise de l'arabe, français et anglais ;</li> <li>Bon niveau de connaissance des métiers de la banque, des techniques bancaires et de produits bancaires ;</li> <li>Maitrise Pack Office, de l'environnement Windows, et de Delta Banque.<br /><br /></li> </ul>",0,2,60000,
